,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,FoodAlcohol,FoodFibre,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFruit,FoodVegetable,FoodLegume,FoodRedMeat,FoodProcessedMeat,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc
Intercept,-0.062786348,-0.091338473,-0.083737261,-0.082007111,-0.870860623,-0.138291453,-0.115184405,-0.221170652,-0.068054486,-0.089616879,-0.340784258,-0.431718085,-0.235206253,-0.364544566,-0.312152906,-0.144174163,-0.060191135,-0.108366988,-0.265136864,-0.122254036,-0.080250209
gender2,-0.01192371,-0.019174735,-0.008542803,-0.017956431,-0.043853266,-0.002165561,-0.022562983,-0.026454849,-0.017129555,-0.01376666,-0.019147632,0.007201498,-0.003178943,0.015683116,-0.018424451,-0.02997058,-0.012477906,-0.007244961,0.007864654,-0.007308385,-0.006716271
age1,-0.000251222,0.000422182,-0.000339098,0.000300802,0.004200112,-0.00114472,0.000754833,0.002123834,-0.000269973,-0.001184114,0.001015489,-0.004574234,-0.00224188,-0.001994932,-0.000752936,0.00120604,-0.000505498,-0.001175427,-0.002300124,-0.000381408,-0.000370288
age2,-4.41E-07,-9.90E-06,1.69E-06,-9.25E-06,-2.44E-05,1.28E-05,-1.29E-05,-2.65E-05,-4.42E-06,9.32E-06,-2.17E-06,6.59E-05,2.78E-05,3.30E-05,1.52E-05,-2.28E-05,9.60E-07,1.08E-05,2.76E-05,2.18E-06,2.74E-06
ethnicity2,0.043412694,-0.143080663,-0.104270384,-0.375768912,-0.380118843,0.007295621,-0.168234571,-0.087815803,-0.190322168,-0.087002725,-0.154746832,0.327879752,-0.014055537,0.241602057,0.007973515,-0.710137138,-0.112034091,-0.088566324,-0.040600595,-0.07076291,-0.056845769
ethnicity3,-0.16689922,-0.122061212,-0.229083607,-0.393817526,-0.493087411,-0.16443138,-0.084723753,-0.003468842,-0.308957333,-0.255660023,-0.257584026,0.077914208,-0.079248781,-0.307214854,0.411997689,-0.461435209,-0.360565215,-0.268892594,-0.141314982,-0.248466376,-0.199004985
ethnicity4,-0.09476112,-0.0651701,-0.085206795,-0.206201652,-0.382594012,-0.07012777,-0.054388497,-0.054111429,-0.14425084,-0.173333629,-0.292615974,0.225866705,0.00998571,-0.017086613,0.102997776,-0.188550952,-0.205237152,-0.118320824,-0.10715517,-0.077836841,-0.114051543
income,-5.32E-07,2.15E-05,7.17E-05,5.08E-05,0.000409379,0.000142489,2.66E-05,2.88E-05,2.17E-05,2.98E-05,-2.35E-05,0.000371316,0.000180849,7.01E-05,1.23E-05,-0.00015189,2.35E-05,0.000144948,0.000237116,0.000110009,6.43E-05
region2,0.076233811,0.021564289,0.093065389,0.068394425,-0.253307077,0.047407905,0.008590581,0.017179216,0.039835436,0.073306139,0.05796015,0.009261253,0.10858411,0.028431332,0.048614112,0.233503656,0.075109439,0.052107457,0.019533127,0.048877788,0.090641435
region3,0.060591259,0.053886005,0.0568372,0.099639579,-0.067498856,0.014788821,0.057431127,0.029889859,0.071345858,0.044524183,0.087899557,-0.046865684,-0.039965542,0.167654029,0.011983624,0.182214581,0.085383402,0.006961991,-0.051858419,0.021229434,0.051847085
region4,0.04709833,-0.013109972,0.04648356,0.023751251,0.105832515,0.006071038,-0.032805884,-0.033392485,0.011476917,-0.0118212,0.018147088,0.005844864,-0.019148368,-0.066460106,0.018042482,0.121500082,0.027917002,0.020954924,-0.044681225,-0.0050539,0.043546829
stddev,0.496614135,0.559479348,0.468613154,0.539509981,1.199308272,0.541701476,0.591988029,0.71193711,0.562589847,0.602788122,0.984523113,0.820052407,0.726277542,0.848151919,0.800119939,0.786628008,0.522291699,0.502196968,0.732534592,0.532815968,0.474586857
lambda,0.424242424,0.343434343,0.464646465,0.383838384,0.222222222,0.424242424,0.303030303,0.222222222,0.383838384,0.343434343,0.303030303,0.262626263,0.343434343,0.101010101,0.060606061,0.262626263,0.424242424,0.464646465,0.303030303,0.383838384,0.505050505
min,0.018864257,0,0.008585715,0.000200005,0,0,0,0,0,0.019693965,0,0,0,0,0,0,0.737887883,0.005067779,0.007861946,0,0
max,1781.290527,1232.129272,359.7049561,16.34803581,306.9281311,189.5542603,483.5317688,473.1528015,276.9013672,819.5865479,758.3163452,1720.489525,2046.825704,433.6983613,476.6325559,932.5,6684.71119,98.2867514,493.1192256,17.2348732,42.68661953
