adult,gender,ethnicity,region1,region2,region4,region3
0,1,1,0.723939214,0.901183538,0.950738916,0.889958515
0,1,2,0.123464358,0.037539623,0.017779752,0.05149521
0,1,3,0.057792209,0.012905284,0.007828833,0.020355932
0,1,4,0.094804218,0.048371555,0.023652498,0.038190344
0,0,1,0.726595903,0.901839231,0.950443721,0.886299214
0,0,2,0.122691044,0.036964636,0.017136151,0.052967775
0,0,3,0.05627122,0.012834198,0.008384272,0.020847416
0,0,4,0.094441833,0.048361934,0.024035856,0.039885595
1,1,1,0.831631075,0.948909868,0.968393439,0.930578936
1,1,2,0.088942177,0.026417857,0.017183605,0.037897016
1,1,3,0.039901328,0.007474726,0.005741422,0.011941457
1,1,4,0.03952542,0.017197549,0.008681534,0.01958259
1,0,1,0.834244951,0.945902904,0.971436028,0.935802894
1,0,2,0.088952608,0.026625914,0.016718177,0.037098622
1,0,3,0.036488887,0.008300722,0.004533249,0.010209523
1,0,4,0.040313555,0.019170459,0.007312546,0.01688896
