Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
0,1,58.84897288,20.38679526,15.4764778,0.566110418,1693.322242,8.162527286,3.522834771,7.401009749,25.62952134,17.07188429,4.061021941,23.95391159,39.65721174,7.161540316,12.9404599,4.507797099,218.3277743,2.465229847,20.59041593,0.242890092,1.833501497,0,62,6.15,1.669741838,287.9385,480.7829601,0.283928805,621.3036415
1,1,89.10030359,30.86773765,23.44130663,0.857717551,1694.658554,12.36008363,5.333657687,11.20558155,38.80116079,25.86914151,6.148823184,36.25841766,60.07192493,10.84766552,19.61046306,6.829413141,330.426905,3.732528815,31.16410404,0.367887228,2.776340465,0,80,10.2,1.669754161,435.978,727.9760797,0.429570947,621.3880701
2,1,106.4964014,36.89722606,28.03972259,1.026592948,1697.299866,14.77716954,6.374866578,13.39360287,46.36902693,30.97015415,7.349938714,43.31699273,71.86912091,12.97689903,23.48152729,8.173482755,394.6268097,4.461400694,37.22304763,0.440046987,3.319185951,0,90.5,12.65,1.669779023,521.1585,870.2195307,0.512708183,621.5588388
3,1,120.9190928,41.89946529,31.87362749,1.167984992,1701.184731,16.78514745,7.238168648,15.20795228,52.6354585,35.24726341,8.346521837,49.15096053,81.71790243,14.75362718,26.7318393,9.299178214,447.5458879,5.065859532,42.22131409,0.500207626,3.770059728,0,99,14.9,1.669816841,591.841,988.2660689,0.580928133,621.8197569
4,1,133.0812032,46.12246186,35.1322289,1.288837056,1706.223879,18.48348764,7.966535113,16.7384364,57.90991047,38.9085381,9.188070244,54.05229782,90.10423185,16.26587445,29.52006346,10.26316499,491.8075784,5.575846096,46.40668692,0.551346145,4.151288394,0,105.5,17.3,1.669868224,651.522,1087.955885,0.637639584,622.1765011
5,1,144.9477408,50.24857036,38.33527863,1.408202925,1712.303542,20.14569515,8.678034878,18.23242292,63.04658869,42.52677839,10.01065951,58.82323352,98.36178437,17.75488621,32.28184083,11.21919206,534.6656469,6.073802459,50.4638737,0.601630445,4.524287151,0,112.1,19.5,1.669933943,709.83,1185.369211,0.692265817,622.6365646
6,1,156.3623653,54.22544912,41.44323792,1.524620077,1719.289648,21.75090513,9.363895133,19.67054803,67.97621052,46.05473815,10.80407344,63.40558005,106.3901565,19.20322051,34.98278524,12.15832833,575.5272751,6.553341068,54.33731999,0.650454681,4.88436139,0,118.2,21.8,1.670014902,766.012,1279.251455,0.744058138,623.2091783
7,1,168.4441556,58.44345571,44.75459221,1.64903817,1727.032704,23.45578592,10.09186641,21.19397427,73.18388193,49.81921855,11.64637853,68.26027325,114.9564974,20.75029047,37.87286045,13.17131164,618.4987519,7.061581961,58.41511409,0.702521681,5.266698329,0,124.2,24.5,1.670112096,825.565,1378.786093,0.79835552,623.9051974
8,1,180.7814653,62.76264268,48.16279484,1.77749651,1735.373131,25.20432485,10.83818912,22.75139777,78.48893525,53.69585158,12.51008389,73.22918183,123.7882939,22.34814835,40.85970117,14.23073827,662.0482086,7.581562821,62.55312779,0.756180721,5.658747444,0,130.1,27.4,1.670226573,886.491,1480.640825,0.853211795,624.7369457
9,1,193.2430393,67.14045824,51.63500543,1.908701691,1744.146856,26.97945217,11.5959808,24.32684575,83.83288023,57.640128,13.38719644,78.26998929,132.8014447,23.98316053,43.91155502,15.33089859,705.6906336,8.108129348,66.70590229,0.81093956,6.056741869,0,135.8,30.5,1.670359382,948.165,1583.776303,0.90805215,625.7180117
