Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
0,0,96.8434697,33.38830272,27.24476957,0.938778424,1890.546508,13.22786599,5.909961859,12.17912592,41.94612663,24.60194574,6.622817008,39.50026425,62.36798955,12.25599228,23.03073755,7.403172865,358.6428072,4.207142824,31.27309921,0.404269489,3.16490059,0,63.4,6.05,1.725938497,461.6895,796.8476816,0.421490653,621.3036415
1,0,129.9559942,44.80809389,36.57203618,1.260242073,1892.437989,17.75489153,7.930428736,16.34170925,56.28215344,33.03434189,8.888429142,52.99813949,83.69674817,16.45185437,30.92703805,9.942556253,481.1667983,5.646070032,41.93930177,0.542629289,4.24772614,0,81.7,10.9,1.725939106,619.596,1069.384966,0.565083227,621.3880701
2,0,147.3020143,50.79731848,41.48001163,1.429526729,1896.194329,20.13413575,8.988435501,18.51920379,63.78056971,37.48948182,10.07741169,60.05504417,94.87786728,18.65982561,35.10346283,11.28804178,545.1592821,6.400632045,47.47713099,0.615355061,4.816259149,0,91.9,13.3,1.725940373,702.402,1212.30397,0.6393353,621.5588388
3,0,160.6219272,55.4043678,45.2735375,1.560514779,1901.762959,21.96991313,9.800547755,20.18790823,69.52508164,40.95250959,10.9928481,65.4603051,103.4742934,20.36681428,38.35492193,12.33890202,594.077826,6.980892045,51.67288888,0.671477272,5.254332212,0,99.6,15.35,1.725942395,766.0865,1322.221169,0.695260765,621.8197569
4,0,173.1900963,59.75902495,48.87609188,1.685032712,1909.066692,23.71029893,10.56677262,21.75943626,74.93197989,44.25800093,11.85889622,70.5512488,111.5978518,21.98863454,41.46318879,13.34779168,640.0214946,7.529112756,55.57779197,0.724688733,5.669148798,0,106.5,17.55,1.725945321,826.2695,1426.095977,0.747012131,622.1765011
5,0,186.2354711,64.28612948,52.63617643,1.815094583,1918.00567,25.52416102,11.3624039,23.38818233,80.53101188,47.72108518,12.75988317,75.83224319,120.044427,23.68263627,44.72387296,14.41170555,687.5070609,8.098686114,59.5810981,0.780148333,6.10112256,0,112.9,20.3,1.725949353,888.822,1534.061756,0.799821283,622.6365646
6,0,196.4607365,67.84801252,55.62237064,1.918572175,1928.459863,26.95981898,11.98670327,24.66027791,84.89472234,50.49539752,13.46995962,79.96643382,126.6931482,25.03044694,47.34392323,15.27727071,724.344741,8.546130818,62.62518559,0.824046865,6.442371022,0,119,21.9,1.72595475,938.011,1618.964541,0.83951166,623.2091783
7,0,207.1627059,71.58309283,58.76621116,2.027574208,1940.292062,28.46910061,12.64135612,25.99014257,89.44717679,53.42245891,14.21500054,84.30363843,133.6742785,26.45202145,50.1120319,16.20118109,762.6915107,9.014683176,65.76358089,0.870190239,6.801012011,0,125,23.8,1.725961834,989.572,1707.963504,0.880261038,623.9051974
8,0,219.8289749,76.00663509,62.49143735,2.156716667,1953.351266,30.25718182,13.41782345,27.56464225,94.82755706,56.8851358,15.09727786,89.45765173,141.9554474,28.13919197,53.38782158,17.30332421,807.9877787,9.568992774,69.46235192,0.924845573,7.226153869,0,130.6,26.9,1.725970987,1050.621,1813.341365,0.928323234,624.7369457
9,0,231.1914192,79.98995986,65.87034107,2.273977287,1967.476387,31.87488671,14.11743723,28.97436489,99.62285108,60.0356228,15.89250649,94.10860236,149.4350984,29.67546632,56.37606422,18.33009236,848.1854076,10.06670481,72.6835196,0.974278914,7.610637917,0,135.7,29.7,1.725982662,1105.548,1908.15668,0.969849851,625.7180117
