"","FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
"Intercept",-5.94053791197929,-6.27875581613671,-1.80935800487513,2.37875288875583,0.568166176010636,-0.0559382167952079,-7.4991688261863,-4.69983323907928,-5.66134224214929,-7.34385973166555,-11.9690674613605,-0.776363023400043,-0.82093541354398,5.28819931680859,-1.7517815777552,3.05423366013428,-2.51896044570043,-3.65078426791214,-1.75058456708371,-1.70872982728,-0.284275311259856
"gender2",0.0481638176968113,0.0902927491244707,0.00173771587723401,0.0538169800802798,-0.14211288017461,-0.0513610710250977,0.113579475970188,0.0936412948343811,0.0902750193013912,0.0170138255490982,0.0497348316479721,-0.0337935315303214,-0.0187248035573002,-0.310265450714003,-0.0279129588883209,0.0512483744026782,-0.00432030295217527,0.092836482353787,-0.0361299909062711,0.0702959063260944,-0.11343536638149
"age1",-0.00428297857802133,0.00513706303075287,4.66725732595506e-05,0.0216297227410691,0.0223757014963044,-0.00594213141312982,0.00956139901065769,0.00190024403949605,0.000851128141042266,-0.00921624951849032,-0.020661277194888,0.0059626918626362,0.00490670984750516,0.0313088275433145,0.000452335669695453,-0.0064390936531081,0.00231498420555378,0.00770334738876311,-0.00208078677629879,-0.00483568712682007,0.0081515774674061
"age2",0.000126791867860201,-2.3603287729385e-05,2.205376619891e-05,-0.000322917698442657,-0.000223155683043807,0.000138453466463946,6.43562488308636e-07,-8.85921517048892e-06,3.86932365641858e-06,0.00021021850814327,0.000312574583071915,-5.33527662198933e-05,-6.84641958287902e-05,-0.000131334288738393,-0.000105292543851108,3.97989282159381e-05,2.27895328102136e-05,-1.68450613901124e-05,9.55736734092436e-05,8.11194125370788e-05,-0.000102033092493652
"ethnicity2",-0.0983760394302093,-0.487275220190504,-0.31799590157255,-0.167682956305827,-2.23337445582017,-0.0944969699942568,-0.630640790351816,-0.558809632157034,-0.444321200717836,-0.0441192589326149,-0.338573226520153,-0.181969428186926,-0.0562109395986678,-0.428298869004119,0.131093903613836,-0.751776102925112,-0.442911638668943,-0.615247588312558,-0.0770164183022311,1.04878845648954,-0.403122045634034
"ethnicity3",0.340730682790837,0.254300734679386,-0.0779213890504943,-0.101534375862711,-1.14026548799689,0.242145931738717,0.349517031646441,0.103894243985273,-0.00536297433547762,0.57488961863294,0.692608015686882,0.0922253246017463,-0.0867114766806063,1.99040389473309,0.0706629026554016,-0.263413859995672,-0.261677230388948,-0.321280748523031,0.239892910336688,1.7107738426653,0.0124021811847375
"ethnicity4",0.211908797249278,0.221740579785176,-0.140360491436859,0.21708931075505,0.669855622801515,0.215978416591441,0.202520774844311,-0.153115869948471,0.428045657929391,0.226472375142343,0.218554804801391,0.0580652197049078,-0.127513232757256,-0.0951362728188246,-0.496313565852927,-0.444196410835886,-0.022323035900068,0.223630238028786,-0.263765109707131,0.508921088207015,-0.0725279496549613
"income",0.00220546436425895,0.00203759204719459,0.000814183652099746,-0.00305110701228548,0.00149430483381848,0.00176053532942335,0.00201374037489545,0.00301988212252537,0.00159630239541426,0.00229277600063501,0.00198716657364695,0.00127081967080583,0.0016562650644076,0.00420069894061007,0.000830767021223823,-0.00389909451221745,0.00102077994787398,0.00184243175635459,0.00185671903498657,0.00182381245398701,0.000833824510472286
"region2",0.0171381357006482,-0.14618510300714,-0.00793291554106581,0.642028307664586,-0.394844868078377,-0.259443015454648,-0.383366262137238,-0.138120867138711,-0.00761765069876166,-0.0670570118466417,0.057428181070259,0.00737117521796555,0.06175239389401,0.318704783443099,-0.0855979221571218,0.021434653662472,0.0267831569843889,0.306929535426157,-0.147063771577713,-0.3977742275902,0.0471160704100969
"region3",-0.238871084394384,-0.227276262511661,0.0720903948204046,-0.470111013283382,-0.410645048000953,-0.166326027623516,-0.209882367242019,-0.469513568231565,-0.329725839658591,-0.459889690580096,-1.07304991925161,0.131765629356372,0.0786005381641481,0.496213294328238,-0.139976404785148,-0.133009391019419,0.0528075804995625,-0.117272695523318,-0.065001997321844,-0.914019426585474,-0.0634192893988789
"region4",-0.283778702600576,-0.267957069415646,-0.10753929260817,0.12459770765313,-0.267535987492878,-0.189671272593857,-0.408309015122016,-0.165087473344996,-0.313935604838817,-0.514725589451158,-0.974042036776242,0.0679218426958969,-0.0146268501542886,-0.089826496471081,-0.150974914471339,-0.0567150997542053,-0.117212424598883,-0.425014733033452,-0.0545185919125234,-0.554142669979918,-0.329315286810735
"EnergyIntake",0.218415642605085,0.296180448947501,0.0762340299672154,-0.0948369941568966,-0.325749065001614,-0.198019484035447,0.361900679946525,0.192506238772598,0.213873759659487,0.134989546146289,0.502154918546345,-0.131237124962917,-0.00928986623753,-1.62818615847721,0.283006535790399,0.0779822040383815,-0.0270652425850452,0.160421994313257,-0.130000486336661,0.0189464825330665,-0.117527308864774
"min",-11.8012422,-11.1801242,-6.8322981,-100,-50,-12.5,-11.3636364,-25,-13.3333333,-12.9893238,-28.5714286,-6.2680334,-3.519373,-68.124837,-7.1949758,-5.1785488,-9.0128755,-20,-25,-100,-25
"max",6.6666667,5,5.2631579,100,100,10.5263158,11.1111111,20,12.5,5.4545455,7.4074074,0.41748555,2.1745406,0.41374136,10.460381,8.4562533,6.0483871,25,4,100,25
