"","FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
"FoodCarbohydrate",1,0.701848934113298,0.700657508327373,0.0622697074130523,0.648705031821171,0.693728429319376,0.668696132044082,0.515860481524455,0.661408108501267,0.827920015532188,0.471310168334543,0.387038593965839,0.535406404693136,0.358763195754927,0.311672520676637,0.429123363302739,0.661108890972164,0.765714512577893,0.450204261620943,0.727930738699639,0.717229437463571
"FoodFat",0.701848934113298,1,0.720998490133784,0.0887066319140898,0.662688252106262,0.521663678415447,0.967251748871007,0.771787055370674,0.917375509278899,0.578039115688415,0.35743087380016,0.325876497753128,0.484788033076156,0.294960821445727,0.391263530724012,0.496786253289791,0.589433233828754,0.61108334948793,0.346824442624069,0.634896011880581,0.719008478163189
"FoodProtein",0.700657508327373,0.720998490133784,1,0.125156083713555,0.722806262976853,0.664361061602726,0.703023246323725,0.540456878725708,0.652154057583578,0.520491137496886,0.282901605452617,0.356085338561709,0.533397664522188,0.350873339987413,0.43351027537515,0.508857282349779,0.665517793561966,0.756814842130931,0.433315955476722,0.710506849532258,0.912417286906507
"FoodAlcohol",0.0622697074130523,0.0887066319140898,0.125156083713555,1,0.164645306832781,0.0138565529785505,0.106196347571759,0.0497583265700061,0.0770679424794501,0.0488856348518701,0.0266786407392755,-0.0123163254505968,0.135418973421979,0.0592994127305844,0.113480995455878,0.0972775478460051,0.0554012895945022,0.166177666571675,0.0303375428259951,0.0740362733091141,0.111754163766318
"FoodSodium",0.648705031821171,0.662688252106262,0.722806262976853,0.164645306832781,1,0.504668410686959,0.666467886633537,0.476803222455718,0.6076765396905,0.417934662391898,0.256397609835447,0.269392660099637,0.438331395981206,0.294263288649656,0.298934443202349,0.540619357141384,0.532046382657189,0.632120101205593,0.240650436418007,0.570564339514811,0.678453772405107
"FoodFibre",0.693728429319376,0.521663678415447,0.664361061602726,0.0138565529785505,0.504668410686959,1,0.501169371356478,0.357893751710786,0.445423282738063,0.501070975382142,0.286653660064046,0.463425600554251,0.531852008030648,0.402049816818566,0.24909289659289,0.296105646239183,0.571275387445006,0.814884391118814,0.535841100538941,0.767800952790448,0.724589403766066
"FoodMonounsaturatedFat",0.668696132044082,0.967251748871007,0.703023246323725,0.106196347571759,0.666467886633537,0.501169371356478,1,0.702046736555651,0.817950788942548,0.526446048180499,0.347934476836915,0.313539339284001,0.462104959273019,0.281870441722194,0.370485337446635,0.494681398943431,0.500811662671825,0.592425100076177,0.321517286423765,0.612908694813439,0.686222294910992
"FoodPolyunsaturatedFattyAcid",0.515860481524455,0.771787055370674,0.540456878725708,0.0497583265700061,0.476803222455718,0.357893751710786,0.702046736555651,1,0.731508526446347,0.414203395018795,0.202204452428225,0.218567204374898,0.370799818960531,0.188588009629321,0.245519164712833,0.33243968911313,0.497485056097991,0.439992412472807,0.242926637461545,0.475569104667696,0.558532534461327
"FoodSaturatedFat",0.661408108501267,0.917375509278899,0.652154057583578,0.0770679424794501,0.6076765396905,0.445423282738063,0.817950788942548,0.731508526446347,1,0.586527721106818,0.324886066713949,0.312367133734762,0.447380485292906,0.28511213538961,0.377111443492364,0.4638857262476,0.644667963547031,0.542248090910941,0.303108308193856,0.563596356697388,0.672655928699922
"FoodTotalSugar",0.827920015532188,0.578039115688415,0.520491137496886,0.0488856348518701,0.417934662391898,0.501070975382142,0.526446048180499,0.414203395018795,0.586527721106818,1,0.558756358138275,0.392438551731805,0.414595815088762,0.307085881246336,0.259927032650718,0.33225439237344,0.63206307260369,0.569982787665988,0.522567730936081,0.577945280123814,0.555304261919814
"FoodAddedSugar",0.471310168334543,0.35743087380016,0.282901605452617,0.0266786407392755,0.256397609835447,0.286653660064046,0.347934476836915,0.202204452428225,0.324886066713949,0.558756358138275,1,0.185457884306904,0.191481862555343,0.155191176931047,0.126943156206976,0.193782900415911,0.297043792540184,0.341757180341815,0.254982544773351,0.336191269052065,0.299139288294602
"FoodFruit",0.387038593965839,0.325876497753128,0.356085338561709,-0.0123163254505968,0.269392660099637,0.463425600554251,0.313539339284001,0.218567204374898,0.312367133734762,0.392438551731805,0.185457884306904,1,0.405907119983579,0.219873931945282,0.166366486728415,0.119337637250297,0.312434698880279,0.349192915430346,0.395676841597195,0.431352059244908,0.363083571535124
"FoodVegetable",0.535406404693136,0.484788033076156,0.533397664522188,0.135418973421979,0.438331395981206,0.531852008030648,0.462104959273019,0.370799818960531,0.447380485292906,0.414595815088762,0.191481862555343,0.405907119983579,1,0.433641458824331,0.384460220024862,0.281294884346561,0.456761289166861,0.519062970725519,0.440916433337601,0.513412180764484,0.547087261194197
"FoodLegume",0.358763195754927,0.294960821445727,0.350873339987413,0.0592994127305844,0.294263288649656,0.402049816818566,0.281870441722194,0.188588009629321,0.28511213538961,0.307085881246336,0.155191176931047,0.219873931945282,0.433641458824331,1,0.261415955116833,0.160555908674957,0.312147909871513,0.377965082753162,0.213893003186936,0.297210320385286,0.357927010691743
"FoodRedMeat",0.311672520676637,0.391263530724012,0.43351027537515,0.113480995455878,0.298934443202349,0.24909289659289,0.370485337446635,0.245519164712833,0.377111443492364,0.259927032650718,0.126943156206976,0.166366486728415,0.384460220024862,0.261415955116833,1,0.251625394611913,0.250173056157476,0.331044181561183,0.198497612796222,0.265911066372626,0.4537770271604
"FoodProcessedMeat",0.429123363302739,0.496786253289791,0.508857282349779,0.0972775478460051,0.540619357141384,0.296105646239183,0.494681398943431,0.33243968911313,0.4638857262476,0.33225439237344,0.193782900415911,0.119337637250297,0.281294884346561,0.160555908674957,0.251625394611913,1,0.321966942737589,0.403044550510575,0.211694081024101,0.353580856540586,0.469236861219288
"FoodCalcium",0.661108890972164,0.589433233828754,0.665517793561966,0.0554012895945022,0.532046382657189,0.571275387445006,0.500811662671825,0.497485056097991,0.644667963547031,0.63206307260369,0.297043792540184,0.312434698880279,0.456761289166861,0.312147909871513,0.250173056157476,0.321966942737589,1,0.639635733778425,0.408348229103637,0.580870062568257,0.720424711800033
"FoodIron",0.765714512577893,0.61108334948793,0.756814842130931,0.166177666571675,0.632120101205593,0.814884391118814,0.592425100076177,0.439992412472807,0.542248090910941,0.569982787665988,0.341757180341815,0.349192915430346,0.519062970725519,0.377965082753162,0.331044181561183,0.403044550510575,0.639635733778425,1,0.467564288437125,0.773193229813607,0.795083313669378
"FoodVitaminC",0.450204261620943,0.346824442624069,0.433315955476722,0.0303375428259951,0.240650436418007,0.535841100538941,0.321517286423765,0.242926637461545,0.303108308193856,0.522567730936081,0.254982544773351,0.395676841597195,0.440916433337601,0.213893003186936,0.198497612796222,0.211694081024101,0.408348229103637,0.467564288437125,1,0.487105527400207,0.461761737126012
