location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
826,United Kingdom,All causes,2021,5,1 to 4,0,TRUE,1,Male,3,YLD,0.01511337,0.010802407,0.020535249
826,United Kingdom,All causes,2021,5,1 to 4,0,TRUE,2,Female,3,YLD,0.017662826,0.01247797,0.024523085
826,United Kingdom,All causes,2021,5,1 to 4,1,TRUE,1,Male,3,YLD,0.022571323,0.015910027,0.03005379
826,United Kingdom,All causes,2021,5,1 to 4,1,TRUE,2,Female,3,YLD,0.025444544,0.017679057,0.035045019
826,United Kingdom,All causes,2021,5,1 to 4,2,TRUE,1,Male,3,YLD,0.026272915,0.018754989,0.036246409
826,United Kingdom,All causes,2021,5,1 to 4,2,TRUE,2,Female,3,YLD,0.029732952,0.020946576,0.042501439
826,United Kingdom,All causes,2021,5,1 to 4,3,TRUE,1,Male,3,YLD,0.026272915,0.018754989,0.036246409
826,United Kingdom,All causes,2021,5,1 to 4,3,TRUE,2,Female,3,YLD,0.029732952,0.020946576,0.042501439
826,United Kingdom,All causes,2021,5,1 to 4,4,TRUE,1,Male,3,YLD,0.026272915,0.018754989,0.036246409
826,United Kingdom,All causes,2021,5,1 to 4,4,TRUE,2,Female,3,YLD,0.029732952,0.020946576,0.042501439
826,United Kingdom,All causes,2021,6,5-9 years,5,TRUE,1,Male,3,YLD,0.033604396,0.024166384,0.04637886
826,United Kingdom,All causes,2021,6,5-9 years,5,TRUE,2,Female,3,YLD,0.036254918,0.026037623,0.049322655
826,United Kingdom,All causes,2021,6,5-9 years,6,TRUE,1,Male,3,YLD,0.033604396,0.024166384,0.04637886
826,United Kingdom,All causes,2021,6,5-9 years,6,TRUE,2,Female,3,YLD,0.036254918,0.026037623,0.049322655
826,United Kingdom,All causes,2021,6,5-9 years,7,TRUE,1,Male,3,YLD,0.033604396,0.024166384,0.04637886
826,United Kingdom,All causes,2021,6,5-9 years,7,TRUE,2,Female,3,YLD,0.036254918,0.026037623,0.049322655
826,United Kingdom,All causes,2021,6,5-9 years,8,TRUE,1,Male,3,YLD,0.033604396,0.024166384,0.04637886
826,United Kingdom,All causes,2021,6,5-9 years,8,TRUE,2,Female,3,YLD,0.036254918,0.026037623,0.049322655
826,United Kingdom,All causes,2021,6,5-9 years,9,TRUE,1,Male,3,YLD,0.033604396,0.024166384,0.04637886
826,United Kingdom,All causes,2021,6,5-9 years,9,TRUE,2,Female,3,YLD,0.036254918,0.026037623,0.049322655
826,United Kingdom,All causes,2021,7,10-14 years,10,TRUE,1,Male,3,YLD,0.05258998,0.037795405,0.070530338
826,United Kingdom,All causes,2021,7,10-14 years,10,TRUE,2,Female,3,YLD,0.065298629,0.047245907,0.088543378
826,United Kingdom,All causes,2021,7,10-14 years,11,TRUE,1,Male,3,YLD,0.05258998,0.037795405,0.070530338
826,United Kingdom,All causes,2021,7,10-14 years,11,TRUE,2,Female,3,YLD,0.065298629,0.047245907,0.088543378
826,United Kingdom,All causes,2021,7,10-14 years,12,TRUE,1,Male,3,YLD,0.05258998,0.037795405,0.070530338
826,United Kingdom,All causes,2021,7,10-14 years,12,TRUE,2,Female,3,YLD,0.065298629,0.047245907,0.088543378
826,United Kingdom,All causes,2021,7,10-14 years,13,TRUE,1,Male,3,YLD,0.05258998,0.037795405,0.070530338
826,United Kingdom,All causes,2021,7,10-14 years,13,TRUE,2,Female,3,YLD,0.065298629,0.047245907,0.088543378
826,United Kingdom,All causes,2021,7,10-14 years,14,TRUE,1,Male,3,YLD,0.05258998,0.037795405,0.070530338
826,United Kingdom,All causes,2021,7,10-14 years,14,TRUE,2,Female,3,YLD,0.065298629,0.047245907,0.088543378
826,United Kingdom,All causes,2021,8,15-19 years,15,TRUE,1,Male,3,YLD,0.073367155,0.052925574,0.096071533
826,United Kingdom,All causes,2021,8,15-19 years,15,TRUE,2,Female,3,YLD,0.099327066,0.071480763,0.131884354
826,United Kingdom,All causes,2021,8,15-19 years,16,TRUE,1,Male,3,YLD,0.073367155,0.052925574,0.096071533
826,United Kingdom,All causes,2021,8,15-19 years,16,TRUE,2,Female,3,YLD,0.099327066,0.071480763,0.131884354
826,United Kingdom,All causes,2021,8,15-19 years,17,TRUE,1,Male,3,YLD,0.073367155,0.052925574,0.096071533
826,United Kingdom,All causes,2021,8,15-19 years,17,TRUE,2,Female,3,YLD,0.099327066,0.071480763,0.131884354
826,United Kingdom,All causes,2021,8,15-19 years,18,TRUE,1,Male,3,YLD,0.073367155,0.052925574,0.096071533
826,United Kingdom,All causes,2021,8,15-19 years,18,TRUE,2,Female,3,YLD,0.099327066,0.071480763,0.131884354
826,United Kingdom,All causes,2021,8,15-19 years,19,TRUE,1,Male,3,YLD,0.073367155,0.052925574,0.096071533
826,United Kingdom,All causes,2021,8,15-19 years,19,TRUE,2,Female,3,YLD,0.099327066,0.071480763,0.131884354
826,United Kingdom,All causes,2021,9,20-24 years,20,TRUE,1,Male,3,YLD,0.087332458,0.06312684,0.11275088
826,United Kingdom,All causes,2021,9,20-24 years,20,TRUE,2,Female,3,YLD,0.121525988,0.086763502,0.161480625
826,United Kingdom,All causes,2021,9,20-24 years,21,TRUE,1,Male,3,YLD,0.087332458,0.06312684,0.11275088
826,United Kingdom,All causes,2021,9,20-24 years,21,TRUE,2,Female,3,YLD,0.121525988,0.086763502,0.161480625
826,United Kingdom,All causes,2021,9,20-24 years,22,TRUE,1,Male,3,YLD,0.087332458,0.06312684,0.11275088
826,United Kingdom,All causes,2021,9,20-24 years,22,TRUE,2,Female,3,YLD,0.121525988,0.086763502,0.161480625
826,United Kingdom,All causes,2021,9,20-24 years,23,TRUE,1,Male,3,YLD,0.087332458,0.06312684,0.11275088
826,United Kingdom,All causes,2021,9,20-24 years,23,TRUE,2,Female,3,YLD,0.121525988,0.086763502,0.161480625
826,United Kingdom,All causes,2021,9,20-24 years,24,TRUE,1,Male,3,YLD,0.087332458,0.06312684,0.11275088
826,United Kingdom,All causes,2021,9,20-24 years,24,TRUE,2,Female,3,YLD,0.121525988,0.086763502,0.161480625
826,United Kingdom,All causes,2021,10,25-29 years,25,TRUE,1,Male,3,YLD,0.099919254,0.072545242,0.12894898
