"location_id","location","disease","time","age_group_id","age_group","age","is_filled","gender_id","gender","measure_id","measure","mean","lower","upper"
8261,"England","Dermatitis",2021,6,"5-9 years",5,TRUE,1,"Male",5,"prevalence",0.09020757093,0.08325999463,0.09772310954
8261,"England","Dermatitis",2021,6,"5-9 years",5,TRUE,1,"Male",6,"incidence",0.01546977154,0.013035785870233,0.01814610847
8261,"England","Dermatitis",2021,6,"5-9 years",5,TRUE,1,"Male",15,"mortality",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",5,TRUE,1,"Male",7,"remission",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",6,TRUE,1,"Male",5,"prevalence",0.09020757093,0.08325999463,0.09772310954
8261,"England","Dermatitis",2021,6,"5-9 years",6,TRUE,1,"Male",6,"incidence",0.01546977154,0.013035785870233,0.01814610847
8261,"England","Dermatitis",2021,6,"5-9 years",6,TRUE,1,"Male",15,"mortality",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",6,TRUE,1,"Male",7,"remission",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",7,TRUE,1,"Male",5,"prevalence",0.09020757093,0.08325999463,0.09772310954
8261,"England","Dermatitis",2021,6,"5-9 years",7,TRUE,1,"Male",6,"incidence",0.01546977154,0.013035785870233,0.01814610847
8261,"England","Dermatitis",2021,6,"5-9 years",7,TRUE,1,"Male",15,"mortality",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",7,TRUE,1,"Male",7,"remission",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",8,TRUE,1,"Male",5,"prevalence",0.09020757093,0.08325999463,0.09772310954
8261,"England","Dermatitis",2021,6,"5-9 years",8,TRUE,1,"Male",6,"incidence",0.01546977154,0.013035785870233,0.01814610847
8261,"England","Dermatitis",2021,6,"5-9 years",8,TRUE,1,"Male",15,"mortality",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",8,TRUE,1,"Male",7,"remission",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",9,TRUE,1,"Male",5,"prevalence",0.09020757093,0.08325999463,0.09772310954
8261,"England","Dermatitis",2021,6,"5-9 years",9,TRUE,1,"Male",6,"incidence",0.01546977154,0.013035785870233,0.01814610847
8261,"England","Dermatitis",2021,6,"5-9 years",9,TRUE,1,"Male",15,"mortality",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",9,TRUE,1,"Male",7,"remission",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",5,TRUE,2,"Female",5,"prevalence",0.110057929954638,0.101118011910149,0.119586989
8261,"England","Dermatitis",2021,6,"5-9 years",5,TRUE,2,"Female",6,"incidence",0.02075346492,0.0172696083,0.0248313577204672
8261,"England","Dermatitis",2021,6,"5-9 years",5,TRUE,2,"Female",15,"mortality",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",5,TRUE,2,"Female",7,"remission",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",6,TRUE,2,"Female",5,"prevalence",0.110057929954638,0.101118011910149,0.119586989
8261,"England","Dermatitis",2021,6,"5-9 years",6,TRUE,2,"Female",6,"incidence",0.02075346492,0.0172696083,0.0248313577204672
8261,"England","Dermatitis",2021,6,"5-9 years",6,TRUE,2,"Female",15,"mortality",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",6,TRUE,2,"Female",7,"remission",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",7,TRUE,2,"Female",5,"prevalence",0.110057929954638,0.101118011910149,0.119586989
8261,"England","Dermatitis",2021,6,"5-9 years",7,TRUE,2,"Female",6,"incidence",0.02075346492,0.0172696083,0.0248313577204672
8261,"England","Dermatitis",2021,6,"5-9 years",7,TRUE,2,"Female",15,"mortality",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",7,TRUE,2,"Female",7,"remission",0,0,0
8261,"England","Dermatitis",2021,6,"5-9 years",8,TRUE,2,"Female",5,"prevalence",0.110057929954638,0.101118011910149,0.119586989
