"location_id","location","disease","time","age_group_id","age_group","age","is_filled","gender_id","gender","measure_id","measure","mean","lower","upper"
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",5,TRUE,1,"Male",5,"prevalence",0.0029951468770566,0.0021708868790506,0.0040964157645442
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",5,TRUE,1,"Male",6,"incidence",0.0007528841339184,0.0005251724220044,0.001068350753486
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",5,TRUE,1,"Male",15,"mortality",1.06781483441293e-05,1.30303204957013e-05,8.53677668582116e-06
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",5,TRUE,1,"Male",7,"remission",0,0,0
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",6,TRUE,1,"Male",5,"prevalence",0.0029951468770566,0.0021708868790506,0.0040964157645442
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",6,TRUE,1,"Male",6,"incidence",0.0007528841339184,0.0005251724220044,0.001068350753486
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",6,TRUE,1,"Male",15,"mortality",1.06781483441293e-05,1.30303204957013e-05,8.53677668582116e-06
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",6,TRUE,1,"Male",7,"remission",0,0,0
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",7,TRUE,1,"Male",5,"prevalence",0.0029951468770566,0.0021708868790506,0.0040964157645442
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",7,TRUE,1,"Male",6,"incidence",0.0007528841339184,0.0005251724220044,0.001068350753486
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",7,TRUE,1,"Male",15,"mortality",1.06781483441293e-05,1.30303204957013e-05,8.53677668582116e-06
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",7,TRUE,1,"Male",7,"remission",0,0,0
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",8,TRUE,1,"Male",5,"prevalence",0.0029951468770566,0.0021708868790506,0.0040964157645442
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",8,TRUE,1,"Male",6,"incidence",0.0007528841339184,0.0005251724220044,0.001068350753486
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",8,TRUE,1,"Male",15,"mortality",1.06781483441293e-05,1.30303204957013e-05,8.53677668582116e-06
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",8,TRUE,1,"Male",7,"remission",0,0,0
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",9,TRUE,1,"Male",5,"prevalence",0.0029951468770566,0.0021708868790506,0.0040964157645442
826,"United Kingdom of Great Britain and Northern Ireland","Gallbladder and biliary diseases",2021,6,"5-9 years",9,TRUE,1,"Male",6,"incidence",0.0007528841339184,0.0005251724220044,0.001068350753486
