Age,0,50,100,150,200
0,1,1.47,1.72,1.87,2.03
1,1,1.47,1.72,1.87,2.03
2,1,1.47,1.72,1.87,2.03
3,1,1.47,1.72,1.87,2.03
4,1,1.47,1.72,1.87,2.03
5,1,1.47,1.72,1.87,2.03
6,1,1.47,1.72,1.87,2.03
7,1,1.47,1.72,1.87,2.03
8,1,1.47,1.72,1.87,2.03
9,1,1.47,1.72,1.87,2.03
10,1,1.47,1.72,1.87,2.03
11,1,1.47,1.72,1.87,2.03
12,1,1.47,1.72,1.87,2.03
13,1,1.47,1.72,1.87,2.03
14,1,1.47,1.72,1.87,2.03
15,1,1.47,1.72,1.87,2.03
16,1,1.47,1.72,1.87,2.03
17,1,1.47,1.72,1.87,2.03
18,1,1.47,1.72,1.87,2.03
19,1,1.47,1.72,1.87,2.03
20,1,1.47,1.72,1.87,2.03
21,1,1.47,1.72,1.87,2.03
22,1,1.47,1.72,1.87,2.03
23,1,1.47,1.72,1.87,2.03
24,1,1.47,1.72,1.87,2.03
25,1,1.47,1.72,1.87,2.03
26,1,1.47,1.72,1.87,2.03
27,1,1.47,1.72,1.87,2.03
28,1,1.47,1.72,1.87,2.03
29,1,1.47,1.72,1.87,2.03
30,1,1.47,1.72,1.87,2.03
31,1,1.47,1.72,1.87,2.03
32,1,1.47,1.72,1.87,2.03
33,1,1.47,1.72,1.87,2.03
34,1,1.47,1.72,1.87,2.03
35,1,1.47,1.72,1.87,2.03
36,1,1.47,1.72,1.87,2.03
37,1,1.47,1.72,1.87,2.03
38,1,1.47,1.72,1.87,2.03
39,1,1.47,1.72,1.87,2.03
40,1,1.36,1.54,1.65,1.75
41,1,1.36,1.54,1.65,1.75
42,1,1.36,1.54,1.65,1.75
43,1,1.36,1.54,1.65,1.75
44,1,1.36,1.54,1.65,1.75
45,1,1.3,1.45,1.53,1.61
46,1,1.3,1.45,1.53,1.61
47,1,1.3,1.45,1.53,1.61
48,1,1.3,1.45,1.53,1.61
49,1,1.3,1.45,1.53,1.61
50,1,1.25,1.36,1.43,1.49
51,1,1.25,1.36,1.43,1.49
52,1,1.25,1.36,1.43,1.49
53,1,1.25,1.36,1.43,1.49
54,1,1.25,1.36,1.43,1.49
55,1,1.2,1.29,1.34,1.39
56,1,1.2,1.29,1.34,1.39
57,1,1.2,1.29,1.34,1.39
58,1,1.2,1.29,1.34,1.39
59,1,1.2,1.29,1.34,1.39
60,1,1.16,1.23,1.27,1.31
61,1,1.16,1.23,1.27,1.31
62,1,1.16,1.23,1.27,1.31
63,1,1.16,1.23,1.27,1.31
64,1,1.16,1.23,1.27,1.31
65,1,1.13,1.19,1.22,1.25
66,1,1.13,1.19,1.22,1.25
67,1,1.13,1.19,1.22,1.25
68,1,1.13,1.19,1.22,1.25
69,1,1.13,1.19,1.22,1.25
70,1,1.11,1.15,1.17,1.2
71,1,1.11,1.15,1.17,1.2
72,1,1.11,1.15,1.17,1.2
73,1,1.11,1.15,1.17,1.2
74,1,1.11,1.15,1.17,1.2
75,1,1.08,1.12,1.14,1.16
76,1,1.08,1.12,1.14,1.16
77,1,1.08,1.12,1.14,1.16
78,1,1.08,1.12,1.14,1.16
79,1,1.08,1.12,1.14,1.16
80,1,1.08,1.12,1.14,1.16
81,1,1.08,1.12,1.14,1.16
82,1,1.08,1.12,1.14,1.16
83,1,1.08,1.12,1.14,1.16
84,1,1.08,1.12,1.14,1.16
85,1,1.08,1.12,1.14,1.16
86,1,1.08,1.12,1.14,1.16
87,1,1.08,1.12,1.14,1.16
88,1,1.08,1.12,1.14,1.16
89,1,1.08,1.12,1.14,1.16
90,1,1.08,1.12,1.14,1.16
91,1,1.08,1.12,1.14,1.16
92,1,1.08,1.12,1.14,1.16
93,1,1.08,1.12,1.14,1.16
94,1,1.08,1.12,1.14,1.16
95,1,1.08,1.12,1.14,1.16
96,1,1.08,1.12,1.14,1.16
97,1,1.08,1.12,1.14,1.16
98,1,1.08,1.12,1.14,1.16
99,1,1.08,1.12,1.14,1.16
100,1,1.08,1.12,1.14,1.16
101,1,1.08,1.12,1.14,1.16
102,1,1.08,1.12,1.14,1.16
103,1,1.08,1.12,1.14,1.16
104,1,1.08,1.12,1.14,1.16
105,1,1.08,1.12,1.14,1.16
106,1,1.08,1.12,1.14,1.16
107,1,1.08,1.12,1.14,1.16
108,1,1.08,1.12,1.14,1.16
109,1,1.08,1.12,1.14,1.16
110,1,1.08,1.12,1.14,1.16
