Age,0,10,20,30
0,1,0.8,0.65,0.64
1,1,0.8,0.65,0.64
2,1,0.8,0.65,0.64
3,1,0.8,0.65,0.64
4,1,0.8,0.65,0.64
5,1,0.8,0.65,0.64
6,1,0.8,0.65,0.64
7,1,0.8,0.65,0.64
8,1,0.8,0.65,0.64
9,1,0.8,0.65,0.64
10,1,0.8,0.65,0.64
11,1,0.8,0.65,0.64
12,1,0.8,0.65,0.64
13,1,0.8,0.65,0.64
14,1,0.8,0.65,0.64
15,1,0.8,0.65,0.64
16,1,0.8,0.65,0.64
17,1,0.8,0.65,0.64
18,1,0.8,0.65,0.64
19,1,0.8,0.65,0.64
20,1,0.8,0.65,0.64
21,1,0.8,0.65,0.64
22,1,0.8,0.65,0.64
23,1,0.8,0.65,0.64
24,1,0.8,0.65,0.64
25,1,0.8,0.65,0.64
26,1,0.8,0.65,0.64
27,1,0.8,0.65,0.64
28,1,0.8,0.65,0.64
29,1,0.8,0.65,0.64
30,1,0.8,0.65,0.64
31,1,0.8,0.65,0.64
32,1,0.8,0.65,0.64
33,1,0.8,0.65,0.64
34,1,0.8,0.65,0.64
35,1,0.8,0.65,0.64
36,1,0.8,0.65,0.64
37,1,0.8,0.65,0.64
38,1,0.8,0.65,0.64
39,1,0.8,0.65,0.64
40,1,0.83,0.7,0.69
41,1,0.83,0.7,0.69
42,1,0.83,0.7,0.69
43,1,0.83,0.7,0.69
44,1,0.83,0.7,0.69
45,1,0.84,0.71,0.7
46,1,0.84,0.71,0.7
47,1,0.84,0.71,0.7
48,1,0.84,0.71,0.7
49,1,0.84,0.71,0.7
50,1,0.85,0.73,0.72
51,1,0.85,0.73,0.72
52,1,0.85,0.73,0.72
53,1,0.85,0.73,0.72
54,1,0.85,0.73,0.72
55,1,0.87,0.76,0.75
56,1,0.87,0.76,0.75
57,1,0.87,0.76,0.75
58,1,0.87,0.76,0.75
59,1,0.87,0.76,0.75
60,1,0.88,0.79,0.78
61,1,0.88,0.79,0.78
62,1,0.88,0.79,0.78
63,1,0.88,0.79,0.78
64,1,0.88,0.79,0.78
65,1,0.89,0.81,0.8
66,1,0.89,0.81,0.8
67,1,0.89,0.81,0.8
68,1,0.89,0.81,0.8
69,1,0.89,0.81,0.8
70,1,0.9,0.82,0.82
71,1,0.9,0.82,0.82
72,1,0.9,0.82,0.82
73,1,0.9,0.82,0.82
74,1,0.9,0.82,0.82
75,1,0.91,0.83,0.83
76,1,0.91,0.83,0.83
77,1,0.91,0.83,0.83
78,1,0.91,0.83,0.83
79,1,0.91,0.83,0.83
80,1,0.91,0.83,0.83
81,1,0.91,0.83,0.83
82,1,0.91,0.83,0.83
83,1,0.91,0.83,0.83
84,1,0.91,0.83,0.83
85,1,0.91,0.83,0.83
86,1,0.91,0.83,0.83
87,1,0.91,0.83,0.83
88,1,0.91,0.83,0.83
89,1,0.91,0.83,0.83
90,1,0.91,0.83,0.83
91,1,0.91,0.83,0.83
92,1,0.91,0.83,0.83
93,1,0.91,0.83,0.83
94,1,0.91,0.83,0.83
95,1,0.91,0.83,0.83
96,1,0.91,0.83,0.83
97,1,0.91,0.83,0.83
98,1,0.91,0.83,0.83
99,1,0.91,0.83,0.83
100,1,0.91,0.83,0.83
101,1,0.91,0.83,0.83
102,1,0.91,0.83,0.83
103,1,0.91,0.83,0.83
104,1,0.91,0.83,0.83
105,1,0.91,0.83,0.83
106,1,0.91,0.83,0.83
107,1,0.91,0.83,0.83
108,1,0.91,0.83,0.83
109,1,0.91,0.83,0.83
110,1,0.91,0.83,0.83
