Age,0,100,200,300
0,1,0.94,0.89,0.85
1,1,0.94,0.89,0.85
2,1,0.94,0.89,0.85
3,1,0.94,0.89,0.85
4,1,0.94,0.89,0.85
5,1,0.94,0.89,0.85
6,1,0.94,0.89,0.85
7,1,0.94,0.89,0.85
8,1,0.94,0.89,0.85
9,1,0.94,0.89,0.85
10,1,0.94,0.89,0.85
11,1,0.94,0.89,0.85
12,1,0.94,0.89,0.85
13,1,0.94,0.89,0.85
14,1,0.94,0.89,0.85
15,1,0.94,0.89,0.85
16,1,0.94,0.89,0.85
17,1,0.94,0.89,0.85
18,1,0.94,0.89,0.85
19,1,0.94,0.89,0.85
20,1,0.94,0.89,0.85
21,1,0.94,0.89,0.85
22,1,0.94,0.89,0.85
23,1,0.94,0.89,0.85
24,1,0.94,0.89,0.85
25,1,0.94,0.89,0.85
26,1,0.94,0.89,0.85
27,1,0.94,0.89,0.85
28,1,0.94,0.89,0.85
29,1,0.94,0.89,0.85
30,1,0.94,0.89,0.85
31,1,0.94,0.89,0.85
32,1,0.94,0.89,0.85
33,1,0.94,0.89,0.85
34,1,0.94,0.89,0.85
35,1,0.94,0.89,0.85
36,1,0.94,0.89,0.85
37,1,0.94,0.89,0.85
38,1,0.94,0.89,0.85
39,1,0.94,0.89,0.85
40,1,0.95,0.91,0.87
41,1,0.95,0.91,0.87
42,1,0.95,0.91,0.87
43,1,0.95,0.91,0.87
44,1,0.95,0.91,0.87
45,1,0.96,0.91,0.88
46,1,0.96,0.91,0.88
47,1,0.96,0.91,0.88
48,1,0.96,0.91,0.88
49,1,0.96,0.91,0.88
50,1,0.96,0.92,0.89
51,1,0.96,0.92,0.89
52,1,0.96,0.92,0.89
53,1,0.96,0.92,0.89
54,1,0.96,0.92,0.89
55,1,0.96,0.93,0.9
56,1,0.96,0.93,0.9
57,1,0.96,0.93,0.9
58,1,0.96,0.93,0.9
59,1,0.96,0.93,0.9
60,1,0.97,0.94,0.91
61,1,0.97,0.94,0.91
62,1,0.97,0.94,0.91
63,1,0.97,0.94,0.91
64,1,0.97,0.94,0.91
65,1,0.97,0.94,0.92
66,1,0.97,0.94,0.92
67,1,0.97,0.94,0.92
68,1,0.97,0.94,0.92
69,1,0.97,0.94,0.92
70,1,0.97,0.95,0.93
71,1,0.97,0.95,0.93
72,1,0.97,0.95,0.93
73,1,0.97,0.95,0.93
74,1,0.97,0.95,0.93
75,1,0.98,0.95,0.93
76,1,0.98,0.95,0.93
77,1,0.98,0.95,0.93
78,1,0.98,0.95,0.93
79,1,0.98,0.95,0.93
80,1,0.98,0.95,0.93
81,1,0.98,0.95,0.93
82,1,0.98,0.95,0.93
83,1,0.98,0.95,0.93
84,1,0.98,0.95,0.93
85,1,0.98,0.95,0.93
86,1,0.98,0.95,0.93
87,1,0.98,0.95,0.93
88,1,0.98,0.95,0.93
89,1,0.98,0.95,0.93
90,1,0.98,0.95,0.93
91,1,0.98,0.95,0.93
92,1,0.98,0.95,0.93
93,1,0.98,0.95,0.93
94,1,0.98,0.95,0.93
95,1,0.98,0.95,0.93
96,1,0.98,0.95,0.93
97,1,0.98,0.95,0.93
98,1,0.98,0.95,0.93
99,1,0.98,0.95,0.93
100,1,0.98,0.95,0.93
101,1,0.98,0.95,0.93
102,1,0.98,0.95,0.93
103,1,0.98,0.95,0.93
104,1,0.98,0.95,0.93
105,1,0.98,0.95,0.93
106,1,0.98,0.95,0.93
107,1,0.98,0.95,0.93
108,1,0.98,0.95,0.93
109,1,0.98,0.95,0.93
110,1,0.98,0.95,0.93
