Age,0,50,100,150
0,1,0.82,0.66,0.63
1,1,0.82,0.66,0.63
2,1,0.82,0.66,0.63
3,1,0.82,0.66,0.63
4,1,0.82,0.66,0.63
5,1,0.82,0.66,0.63
6,1,0.82,0.66,0.63
7,1,0.82,0.66,0.63
8,1,0.82,0.66,0.63
9,1,0.82,0.66,0.63
10,1,0.82,0.66,0.63
11,1,0.82,0.66,0.63
12,1,0.82,0.66,0.63
13,1,0.82,0.66,0.63
14,1,0.82,0.66,0.63
15,1,0.82,0.66,0.63
16,1,0.82,0.66,0.63
17,1,0.82,0.66,0.63
18,1,0.82,0.66,0.63
19,1,0.82,0.66,0.63
20,1,0.82,0.66,0.63
21,1,0.82,0.66,0.63
22,1,0.82,0.66,0.63
23,1,0.82,0.66,0.63
24,1,0.82,0.66,0.63
25,1,0.82,0.66,0.63
26,1,0.82,0.66,0.63
27,1,0.82,0.66,0.63
28,1,0.82,0.66,0.63
29,1,0.82,0.66,0.63
30,1,0.82,0.66,0.63
31,1,0.82,0.66,0.63
32,1,0.82,0.66,0.63
33,1,0.82,0.66,0.63
34,1,0.82,0.66,0.63
35,1,0.82,0.66,0.63
36,1,0.82,0.66,0.63
37,1,0.82,0.66,0.63
38,1,0.82,0.66,0.63
39,1,0.82,0.66,0.63
40,1,0.85,0.71,0.68
41,1,0.85,0.71,0.68
42,1,0.85,0.71,0.68
43,1,0.85,0.71,0.68
44,1,0.85,0.71,0.68
45,1,0.85,0.72,0.69
46,1,0.85,0.72,0.69
47,1,0.85,0.72,0.69
48,1,0.85,0.72,0.69
49,1,0.85,0.72,0.69
50,1,0.86,0.74,0.71
51,1,0.86,0.74,0.71
52,1,0.86,0.74,0.71
53,1,0.86,0.74,0.71
54,1,0.86,0.74,0.71
55,1,0.88,0.77,0.75
56,1,0.88,0.77,0.75
57,1,0.88,0.77,0.75
58,1,0.88,0.77,0.75
59,1,0.88,0.77,0.75
60,1,0.89,0.8,0.77
61,1,0.89,0.8,0.77
62,1,0.89,0.8,0.77
63,1,0.89,0.8,0.77
64,1,0.89,0.8,0.77
65,1,0.9,0.82,0.79
66,1,0.9,0.82,0.79
67,1,0.9,0.82,0.79
68,1,0.9,0.82,0.79
69,1,0.9,0.82,0.79
70,1,0.91,0.83,0.81
71,1,0.91,0.83,0.81
72,1,0.91,0.83,0.81
73,1,0.91,0.83,0.81
74,1,0.91,0.83,0.81
75,1,0.92,0.84,0.82
76,1,0.92,0.84,0.82
77,1,0.92,0.84,0.82
78,1,0.92,0.84,0.82
79,1,0.92,0.84,0.82
80,1,0.92,0.84,0.82
81,1,0.92,0.84,0.82
82,1,0.92,0.84,0.82
83,1,0.92,0.84,0.82
84,1,0.92,0.84,0.82
85,1,0.92,0.84,0.82
86,1,0.92,0.84,0.82
87,1,0.92,0.84,0.82
88,1,0.92,0.84,0.82
89,1,0.92,0.84,0.82
90,1,0.92,0.84,0.82
91,1,0.92,0.84,0.82
92,1,0.92,0.84,0.82
93,1,0.92,0.84,0.82
94,1,0.92,0.84,0.82
95,1,0.92,0.84,0.82
96,1,0.92,0.84,0.82
97,1,0.92,0.84,0.82
98,1,0.92,0.84,0.82
99,1,0.92,0.84,0.82
100,1,0.92,0.84,0.82
101,1,0.92,0.84,0.82
102,1,0.92,0.84,0.82
103,1,0.92,0.84,0.82
104,1,0.92,0.84,0.82
105,1,0.92,0.84,0.82
106,1,0.92,0.84,0.82
107,1,0.92,0.84,0.82
108,1,0.92,0.84,0.82
109,1,0.92,0.84,0.82
110,1,0.92,0.84,0.82
