Age,0,25,50,75,100
0,1,1.13,1.17,1.2,1.23
1,1,1.13,1.17,1.2,1.23
2,1,1.13,1.17,1.2,1.23
3,1,1.13,1.17,1.2,1.23
4,1,1.13,1.17,1.2,1.23
5,1,1.13,1.17,1.2,1.23
6,1,1.13,1.17,1.2,1.23
7,1,1.13,1.17,1.2,1.23
8,1,1.13,1.17,1.2,1.23
9,1,1.13,1.17,1.2,1.23
10,1,1.13,1.17,1.2,1.23
11,1,1.13,1.17,1.2,1.23
12,1,1.13,1.17,1.2,1.23
13,1,1.13,1.17,1.2,1.23
14,1,1.13,1.17,1.2,1.23
15,1,1.13,1.17,1.2,1.23
16,1,1.13,1.17,1.2,1.23
17,1,1.13,1.17,1.2,1.23
18,1,1.13,1.17,1.2,1.23
19,1,1.13,1.17,1.2,1.23
20,1,1.13,1.17,1.2,1.23
21,1,1.13,1.17,1.2,1.23
22,1,1.13,1.17,1.2,1.23
23,1,1.13,1.17,1.2,1.23
24,1,1.13,1.17,1.2,1.23
25,1,1.13,1.17,1.2,1.23
26,1,1.13,1.17,1.2,1.23
27,1,1.13,1.17,1.2,1.23
28,1,1.13,1.17,1.2,1.23
29,1,1.13,1.17,1.2,1.23
30,1,1.13,1.17,1.2,1.23
31,1,1.13,1.17,1.2,1.23
32,1,1.13,1.17,1.2,1.23
33,1,1.13,1.17,1.2,1.23
34,1,1.13,1.17,1.2,1.23
35,1,1.13,1.17,1.2,1.23
36,1,1.13,1.17,1.2,1.23
37,1,1.13,1.17,1.2,1.23
38,1,1.13,1.17,1.2,1.23
39,1,1.13,1.17,1.2,1.23
40,1,1.11,1.13,1.16,1.18
41,1,1.11,1.13,1.16,1.18
42,1,1.11,1.13,1.16,1.18
43,1,1.11,1.13,1.16,1.18
44,1,1.11,1.13,1.16,1.18
45,1,1.1,1.13,1.15,1.18
46,1,1.1,1.13,1.15,1.18
47,1,1.1,1.13,1.15,1.18
48,1,1.1,1.13,1.15,1.18
49,1,1.1,1.13,1.15,1.18
50,1,1.1,1.12,1.14,1.16
51,1,1.1,1.12,1.14,1.16
52,1,1.1,1.12,1.14,1.16
53,1,1.1,1.12,1.14,1.16
54,1,1.1,1.12,1.14,1.16
55,1,1.08,1.1,1.12,1.14
56,1,1.08,1.1,1.12,1.14
57,1,1.08,1.1,1.12,1.14
58,1,1.08,1.1,1.12,1.14
59,1,1.08,1.1,1.12,1.14
60,1,1.07,1.09,1.1,1.12
61,1,1.07,1.09,1.1,1.12
62,1,1.07,1.09,1.1,1.12
63,1,1.07,1.09,1.1,1.12
64,1,1.07,1.09,1.1,1.12
65,1,1.06,1.08,1.09,1.11
66,1,1.06,1.08,1.09,1.11
67,1,1.06,1.08,1.09,1.11
68,1,1.06,1.08,1.09,1.11
69,1,1.06,1.08,1.09,1.11
70,1,1.06,1.07,1.08,1.1
71,1,1.06,1.07,1.08,1.1
72,1,1.06,1.07,1.08,1.1
73,1,1.06,1.07,1.08,1.1
74,1,1.06,1.07,1.08,1.1
75,1,1.05,1.06,1.08,1.09
76,1,1.05,1.06,1.08,1.09
77,1,1.05,1.06,1.08,1.09
78,1,1.05,1.06,1.08,1.09
79,1,1.05,1.06,1.08,1.09
80,1,1.05,1.06,1.08,1.09
81,1,1.05,1.06,1.08,1.09
82,1,1.05,1.06,1.08,1.09
83,1,1.05,1.06,1.08,1.09
84,1,1.05,1.06,1.08,1.09
85,1,1.05,1.06,1.08,1.09
86,1,1.05,1.06,1.08,1.09
87,1,1.05,1.06,1.08,1.09
88,1,1.05,1.06,1.08,1.09
89,1,1.05,1.06,1.08,1.09
90,1,1.05,1.06,1.08,1.09
91,1,1.05,1.06,1.08,1.09
92,1,1.05,1.06,1.08,1.09
93,1,1.05,1.06,1.08,1.09
94,1,1.05,1.06,1.08,1.09
95,1,1.05,1.06,1.08,1.09
96,1,1.05,1.06,1.08,1.09
97,1,1.05,1.06,1.08,1.09
98,1,1.05,1.06,1.08,1.09
99,1,1.05,1.06,1.08,1.09
100,1,1.05,1.06,1.08,1.09
101,1,1.05,1.06,1.08,1.09
102,1,1.05,1.06,1.08,1.09
103,1,1.05,1.06,1.08,1.09
104,1,1.05,1.06,1.08,1.09
105,1,1.05,1.06,1.08,1.09
106,1,1.05,1.06,1.08,1.09
107,1,1.05,1.06,1.08,1.09
108,1,1.05,1.06,1.08,1.09
109,1,1.05,1.06,1.08,1.09
110,1,1.05,1.06,1.08,1.09
