Age,0,100,200,300
0,1,0.91,0.85,0.8
1,1,0.91,0.85,0.8
2,1,0.91,0.85,0.8
3,1,0.91,0.85,0.8
4,1,0.91,0.85,0.8
5,1,0.91,0.85,0.8
6,1,0.91,0.85,0.8
7,1,0.91,0.85,0.8
8,1,0.91,0.85,0.8
9,1,0.91,0.85,0.8
10,1,0.91,0.85,0.8
11,1,0.91,0.85,0.8
12,1,0.91,0.85,0.8
13,1,0.91,0.85,0.8
14,1,0.91,0.85,0.8
15,1,0.91,0.85,0.8
16,1,0.91,0.85,0.8
17,1,0.91,0.85,0.8
18,1,0.91,0.85,0.8
19,1,0.91,0.85,0.8
20,1,0.91,0.85,0.8
21,1,0.91,0.85,0.8
22,1,0.91,0.85,0.8
23,1,0.91,0.85,0.8
24,1,0.91,0.85,0.8
25,1,0.91,0.85,0.8
26,1,0.91,0.85,0.8
27,1,0.91,0.85,0.8
28,1,0.91,0.85,0.8
29,1,0.91,0.85,0.8
30,1,0.91,0.85,0.8
31,1,0.91,0.85,0.8
32,1,0.91,0.85,0.8
33,1,0.91,0.85,0.8
34,1,0.91,0.85,0.8
35,1,0.91,0.85,0.8
36,1,0.91,0.85,0.8
37,1,0.91,0.85,0.8
38,1,0.91,0.85,0.8
39,1,0.91,0.85,0.8
40,1,0.93,0.88,0.83
41,1,0.93,0.88,0.83
42,1,0.93,0.88,0.83
43,1,0.93,0.88,0.83
44,1,0.93,0.88,0.83
45,1,0.93,0.88,0.84
46,1,0.93,0.88,0.84
47,1,0.93,0.88,0.84
48,1,0.93,0.88,0.84
49,1,0.93,0.88,0.84
50,1,0.94,0.89,0.85
51,1,0.94,0.89,0.85
52,1,0.94,0.89,0.85
53,1,0.94,0.89,0.85
54,1,0.94,0.89,0.85
55,1,0.94,0.91,0.87
56,1,0.94,0.91,0.87
57,1,0.94,0.91,0.87
58,1,0.94,0.91,0.87
59,1,0.94,0.91,0.87
60,1,0.95,0.92,0.89
61,1,0.95,0.92,0.89
62,1,0.95,0.92,0.89
63,1,0.95,0.92,0.89
64,1,0.95,0.92,0.89
65,1,0.96,0.92,0.9
66,1,0.96,0.92,0.9
67,1,0.96,0.92,0.9
68,1,0.96,0.92,0.9
69,1,0.96,0.92,0.9
70,1,0.96,0.93,0.91
71,1,0.96,0.93,0.91
72,1,0.96,0.93,0.91
73,1,0.96,0.93,0.91
74,1,0.96,0.93,0.91
75,1,0.96,0.94,0.91
76,1,0.96,0.94,0.91
77,1,0.96,0.94,0.91
78,1,0.96,0.94,0.91
79,1,0.96,0.94,0.91
80,1,0.96,0.94,0.91
81,1,0.96,0.94,0.91
82,1,0.96,0.94,0.91
83,1,0.96,0.94,0.91
84,1,0.96,0.94,0.91
85,1,0.96,0.94,0.91
86,1,0.96,0.94,0.91
87,1,0.96,0.94,0.91
88,1,0.96,0.94,0.91
89,1,0.96,0.94,0.91
90,1,0.96,0.94,0.91
91,1,0.96,0.94,0.91
92,1,0.96,0.94,0.91
93,1,0.96,0.94,0.91
94,1,0.96,0.94,0.91
95,1,0.96,0.94,0.91
96,1,0.96,0.94,0.91
97,1,0.96,0.94,0.91
98,1,0.96,0.94,0.91
99,1,0.96,0.94,0.91
100,1,0.96,0.94,0.91
101,1,0.96,0.94,0.91
102,1,0.96,0.94,0.91
103,1,0.96,0.94,0.91
104,1,0.96,0.94,0.91
105,1,0.96,0.94,0.91
106,1,0.96,0.94,0.91
107,1,0.96,0.94,0.91
108,1,0.96,0.94,0.91
109,1,0.96,0.94,0.91
110,1,0.96,0.94,0.91
