Age,0,100,200,300
0,1,0.91,0.85,0.78
1,1,0.91,0.85,0.78
2,1,0.91,0.85,0.78
3,1,0.91,0.85,0.78
4,1,0.91,0.85,0.78
5,1,0.91,0.85,0.78
6,1,0.91,0.85,0.78
7,1,0.91,0.85,0.78
8,1,0.91,0.85,0.78
9,1,0.91,0.85,0.78
10,1,0.91,0.85,0.78
11,1,0.91,0.85,0.78
12,1,0.91,0.85,0.78
13,1,0.91,0.85,0.78
14,1,0.91,0.85,0.78
15,1,0.91,0.85,0.78
16,1,0.91,0.85,0.78
17,1,0.91,0.85,0.78
18,1,0.91,0.85,0.78
19,1,0.91,0.85,0.78
20,1,0.91,0.85,0.78
21,1,0.91,0.85,0.78
22,1,0.91,0.85,0.78
23,1,0.91,0.85,0.78
24,1,0.91,0.85,0.78
25,1,0.91,0.85,0.78
26,1,0.91,0.85,0.78
27,1,0.91,0.85,0.78
28,1,0.91,0.85,0.78
29,1,0.91,0.85,0.78
30,1,0.91,0.85,0.78
31,1,0.91,0.85,0.78
32,1,0.91,0.85,0.78
33,1,0.91,0.85,0.78
34,1,0.91,0.85,0.78
35,1,0.91,0.85,0.78
36,1,0.91,0.85,0.78
37,1,0.91,0.85,0.78
38,1,0.91,0.85,0.78
39,1,0.91,0.85,0.78
40,1,0.92,0.88,0.82
41,1,0.92,0.88,0.82
42,1,0.92,0.88,0.82
43,1,0.92,0.88,0.82
44,1,0.92,0.88,0.82
45,1,0.93,0.9,0.85
46,1,0.93,0.9,0.85
47,1,0.93,0.9,0.85
48,1,0.93,0.9,0.85
49,1,0.93,0.9,0.85
50,1,0.95,0.91,0.87
51,1,0.95,0.91,0.87
52,1,0.95,0.91,0.87
53,1,0.95,0.91,0.87
54,1,0.95,0.91,0.87
55,1,0.95,0.93,0.89
56,1,0.95,0.93,0.89
57,1,0.95,0.93,0.89
58,1,0.95,0.93,0.89
59,1,0.95,0.93,0.89
60,1,0.96,0.94,0.91
61,1,0.96,0.94,0.91
62,1,0.96,0.94,0.91
63,1,0.96,0.94,0.91
64,1,0.96,0.94,0.91
65,1,0.97,0.95,0.92
66,1,0.97,0.95,0.92
67,1,0.97,0.95,0.92
68,1,0.97,0.95,0.92
69,1,0.97,0.95,0.92
70,1,0.97,0.96,0.94
71,1,0.97,0.96,0.94
72,1,0.97,0.96,0.94
73,1,0.97,0.96,0.94
74,1,0.97,0.96,0.94
75,1,0.98,0.97,0.95
76,1,0.98,0.97,0.95
77,1,0.98,0.97,0.95
78,1,0.98,0.97,0.95
79,1,0.98,0.97,0.95
80,1,0.98,0.97,0.95
81,1,0.98,0.97,0.95
82,1,0.98,0.97,0.95
83,1,0.98,0.97,0.95
84,1,0.98,0.97,0.95
85,1,0.98,0.97,0.95
86,1,0.98,0.97,0.95
87,1,0.98,0.97,0.95
88,1,0.98,0.97,0.95
89,1,0.98,0.97,0.95
90,1,0.98,0.97,0.95
91,1,0.98,0.97,0.95
92,1,0.98,0.97,0.95
93,1,0.98,0.97,0.95
94,1,0.98,0.97,0.95
95,1,0.98,0.97,0.95
96,1,0.98,0.97,0.95
97,1,0.98,0.97,0.95
98,1,0.98,0.97,0.95
99,1,0.98,0.97,0.95
100,1,0.98,0.97,0.95
101,1,0.98,0.97,0.95
102,1,0.98,0.97,0.95
103,1,0.98,0.97,0.95
104,1,0.98,0.97,0.95
105,1,0.98,0.97,0.95
106,1,0.98,0.97,0.95
107,1,0.98,0.97,0.95
108,1,0.98,0.97,0.95
109,1,0.98,0.97,0.95
110,1,0.98,0.97,0.95
