"LocID","Location","VarID","Variant","Age","Time","DeathMale","DeathFemale","DeathTotal"
826,"United Kingdom",4,"Median","0",1950,14332,10470,24802
826,"United Kingdom",4,"Median","1",1950,1078,952,2029
826,"United Kingdom",4,"Median","2",1950,719,555,1274
826,"United Kingdom",4,"Median","3",1950,532,440,972
826,"United Kingdom",4,"Median","4",1950,384,314,698
826,"United Kingdom",4,"Median","5",1950,389,257,646
826,"United Kingdom",4,"Median","6",1950,317,214,530
826,"United Kingdom",4,"Median","7",1950,268,193,460
826,"United Kingdom",4,"Median","8",1950,256,153,410
826,"United Kingdom",4,"Median","9",1950,167,134,301
826,"United Kingdom",4,"Median","10",1950,176,123,299
826,"United Kingdom",4,"Median","11",1950,198,112,310
826,"United Kingdom",4,"Median","12",1950,170,145,316
826,"United Kingdom",4,"Median","13",1950,210,154,364
826,"United Kingdom",4,"Median","14",1950,213,139,352
826,"United Kingdom",4,"Median","15",1950,260,208,468
826,"United Kingdom",4,"Median","16",1950,297,227,524
826,"United Kingdom",4,"Median","17",1950,315,266,581
826,"United Kingdom",4,"Median","18",1950,368,302,670
826,"United Kingdom",4,"Median","19",1950,376,360,735
826,"United Kingdom",4,"Median","20",1950,415,371,786
826,"United Kingdom",4,"Median","21",1950,426,418,844
826,"United Kingdom",4,"Median","22",1950,464,400,864
826,"United Kingdom",4,"Median","23",1950,507,426,933
826,"United Kingdom",4,"Median","24",1950,566,468,1035
826,"United Kingdom",4,"Median","25",1950,558,514,1072
826,"United Kingdom",4,"Median","26",1950,632,544,1176
826,"United Kingdom",4,"Median","27",1950,641,550,1192
826,"United Kingdom",4,"Median","28",1950,656,627,1283
826,"United Kingdom",4,"Median","29",1950,700,632,1332
826,"United Kingdom",4,"Median","30",1950,779,691,1470
826,"United Kingdom",4,"Median","31",1950,493,514,1007
826,"United Kingdom",4,"Median","32",1950,536,523,1059
826,"United Kingdom",4,"Median","33",1950,624,526,1150
826,"United Kingdom",4,"Median","34",1950,683,603,1286
826,"United Kingdom",4,"Median","35",1950,824,745,1568
826,"United Kingdom",4,"Median","36",1950,829,788,1617
826,"United Kingdom",4,"Median","37",1950,876,769,1645
826,"United Kingdom",4,"Median","38",1950,983,850,1833
826,"United Kingdom",4,"Median","39",1950,1067,892,1959
826,"United Kingdom",4,"Median","40",1950,1164,945,2109
826,"United Kingdom",4,"Median","41",1950,1285,1026,2311
826,"United Kingdom",4,"Median","42",1950,1434,1102,2536
