"LocID","Location","VarID","Variant","Age","Time","PopMale","PopFemale","PopTotal"
826,"United Kingdom",4,"Median","0",1950,422652,401256,823908
826,"United Kingdom",4,"Median","1",1950,440172,417914,858086
826,"United Kingdom",4,"Median","2",1950,464724,441795,906518.5
826,"United Kingdom",4,"Median","3",1950,462700,441764,904463
826,"United Kingdom",4,"Median","4",1950,426779,408506,835285.5
826,"United Kingdom",4,"Median","5",1950,400432,383530,783962
826,"United Kingdom",4,"Median","6",1950,390408,373772,764179.5
826,"United Kingdom",4,"Median","7",1950,370976,355408,726383
826,"United Kingdom",4,"Median","8",1950,345794,331698,677491
826,"United Kingdom",4,"Median","9",1950,333121,319304,652425.5
826,"United Kingdom",4,"Median","10",1950,337582,322584,660166
826,"United Kingdom",4,"Median","11",1950,345244,329604,674848
826,"United Kingdom",4,"Median","12",1950,344433,330614,675047.5
826,"United Kingdom",4,"Median","13",1950,336313,327369,663682
826,"United Kingdom",4,"Median","14",1950,325282,323600,648881.5
826,"United Kingdom",4,"Median","15",1950,313219,320069,633288
826,"United Kingdom",4,"Median","16",1950,303846,318690,622536
826,"United Kingdom",4,"Median","17",1950,302050,323676,625725
826,"United Kingdom",4,"Median","18",1950,303767,332154,635920.5
826,"United Kingdom",4,"Median","19",1950,306338,337091,643428.5
826,"United Kingdom",4,"Median","20",1950,313450,339259,652709.5
826,"United Kingdom",4,"Median","21",1950,322614,342502,665116
826,"United Kingdom",4,"Median","22",1950,333033,347433,680466
826,"United Kingdom",4,"Median","23",1950,343680,354329,698009
826,"United Kingdom",4,"Median","24",1950,353040,361451,714490.5
826,"United Kingdom",4,"Median","25",1950,359748,367381,727128.5
826,"United Kingdom",4,"Median","26",1950,366344,374342,740685.5
826,"United Kingdom",4,"Median","27",1950,377910,385693,763603
826,"United Kingdom",4,"Median","28",1950,395393,402446,797838.5
826,"United Kingdom",4,"Median","29",1950,407000,413819,820818.5
826,"United Kingdom",4,"Median","30",1950,387590,395300,782890.5
826,"United Kingdom",4,"Median","31",1950,339930,349500,689430.5
826,"United Kingdom",4,"Median","32",1950,310596,321502,632098
826,"United Kingdom",4,"Median","33",1950,321184,332043,653227
826,"United Kingdom",4,"Median","34",1950,347681,358852,706533
826,"United Kingdom",4,"Median","35",1950,368861,381682,750543.5
826,"United Kingdom",4,"Median","36",1950,379342,392993,772335.5
826,"United Kingdom",4,"Median","37",1950,382492,394501,776993.5
826,"United Kingdom",4,"Median","38",1950,383549,392890,776439.5
