,quantile
1,0.733043851
2,0.800927427
3,1.071314347
4,1.016265183
5,1.06249569
6,1.269383944
7,0.215191563
8,1.433088383
9,0.700697892
10,1.356830055
11,1.190737602
12,0.479350288
13,1.067122744
14,1.246627665
15,0.77991798
16,1.10368776
17,0.531321129
18,0.525816029
19,1.271317199
20,1.31307909
21,0.786542558
22,0.571412836
23,0.952561685
24,0.881197286
25,1.100328082
26,0.51124394
27,1.336954846
28,0.811789561
29,0.398825689
30,1.274504696
31,1.156929625
32,0.616968994
33,0.822235112
34,0.278297981
35,0.545703851
36,0.562688937
37,0.313517964
38,1.952179755
39,1.551597812
40,0.69158937
41,1.375548937
42,0.922386366
43,0.202706628
44,1.673622851
45,0.926780895
46,0.731988017
47,0.829644508
48,0.982673523
49,1.550132747
50,1.846026488
51,1.023589853
52,1.296144509
53,1.505825227
54,1.074736167
55,0.566483884
56,0.526672927
57,0.412649183
58,0.997285881
59,1.055108276
60,0.407561075
61,1.066600531
62,0.840564061
63,0.722653279
64,1.233428875
65,1.168726749
66,1.926187683
67,1.247695641
68,1.163079629
69,1.77550105
70,0.845166651
71,0.695723525
72,1.344011693
73,0.427240468
74,0.825166559
75,1.122294389
76,0.966355732
77,0.553891517
78,1.262048083
79,1.520466937
80,1.280739595
81,0.92735378
82,1.3321878
83,0.683394469
84,0.858136957
85,1.19747949
86,1.13516139
87,0.479466125
88,1.242300415
89,0.497644772
90,0.658220227
91,1.322849324
92,2.381667237
93,1.309922408
94,1.207115268
95,0.321094631
96,0.675032554
97,0.761654967
98,0.203442541
99,1.195354963
100,0.729473689
101,0.358315558
102,0.625848823
103,0.384597875
104,1.238431119
105,1.398508286
106,1.282974813
107,1.394312783
108,1.688412731
109,1.791227998
110,0.928812494
111,0.678059798
112,0.55895577
113,0.855270579
114,0.669340224
115,0.56694833
116,0.8757537
117,1.31658763
118,0.645672176
119,0.814077181
120,0.646313873
121,2.489438955
122,1.330328574
123,0.956037735
124,1.305816096
125,1.757364902
126,1.988665333
127,0.71557507
128,0.760618427
129,1.625976288
130,0.418735546
131,0.742402574
132,0.617437979
133,1.114746082
134,0.53504619
135,1.020202348
136,0.820059964
137,1.129910222
138,1.183666059
139,1.335130989
140,1.035885543
141,0.274011202
142,1.326227793
143,1.66055482
144,0.349083482
145,0.933313541
146,0.632862838
147,1.283331279
148,1.094128867
149,0.774655985
150,1.804808945
151,0.789768817
152,1.293308023
153,0.395030645
154,1.035037999
155,0.965537629
156,1.15063028
157,0.681062323
158,0.449405916
159,1.168842364
160,1.433424853
161,1.410293658
162,1.190156001
163,0.885946421
164,0.831596523
165,0.523960463
166,1.2946953
167,0.360189781
168,0.751951248
169,0.213168156
170,0.6006331
171,0.895971473
172,0.961151732
173,1.631896783
174,1.015912444
175,0.76037596
176,0.808751226
177,1.34358957
178,0.778306851
179,0.76819312
180,1.438864597
181,0.50963767
182,1.0265741
183,0.911383681
184,0.871801971
185,1.259179219
186,1.386026739
187,0.599006207
188,1.374553273
189,1.082761782
190,1.19231949
191,1.210616023
192,1.508268221
193,1.257686217
194,1.779513083
195,1.753079473
196,1.125344106
197,0.854470328
198,0.858090868
199,1.213928026
200,1.573841094
201,0.33500538
202,0.642161749
203,1.340211284
204,0.959333043
205,1.144739739
206,0.573234196
207,0.658684
208,0.835012473
209,1.343028813
210,0.622553029
211,0.963654694
212,0.771324791
213,0.695461141
214,1.233175511
215,1.435473921
216,0.761444454
217,0.825400674
218,0.713918284
219,1.477578126
220,0.813422649
221,0.438301965
222,1.000926887
223,1.365202633
224,1.131771311
225,0.804893253
226,1.583453942
227,0.767360173
228,1.087424267
229,1.220277966
230,0.265331461
231,0.80301542
232,0.690677657
233,0.846054651
234,1.01978669
235,1.496154615
236,1.287193518
237,0.897370995
238,1.217619375
239,0.538815466
240,1.738633691
241,0.955935948
242,0.733937012
243,0.885776155
244,1.683394898
245,1.362434579
246,1.573019005
247,1.295106015
248,0.621126959
249,0.908227148
250,1.59257319
251,0.89138298
252,1.933423844
253,0.268010551
254,0.959245822
255,0.48225741
256,0.729668673
257,0.089326766
258,1.042541181
259,1.538236001
260,0.452399791
261,0.240938986
262,0.563538238
263,0.948208155
264,1.892674562
265,1.162778425
266,0.819401738
267,0.605022008
268,1.310391683
269,0.491688614
270,1.193270268
271,1.578775448
272,0.50790088
273,1.122884805
274,0.793834528
275,1.348321262
276,0.410224305
277,1.136164487
278,0.93274102
279,0.781599264
280,0.598981688
281,1.088215191
282,0.975086112
283,1.483825621
284,1.254471698
285,0.811589252
286,0.00014093
287,0.941719991
288,1.068188171
289,1.872370536
290,0.770721905
291,1.526346544
292,1.915554862
293,0.329800608
294,0.756065896
295,0.901285041
296,1.040850025
297,0.784190929
298,1.194785389
299,1.099073021
300,1.218352505
301,0.7178492
302,0.548790555
303,1.472962818
304,0.713169793
305,0.840876069
306,1.43372395
307,0.545915509
308,1.419995419
309,1.075681083
310,1.10137305
311,1.397420832
312,0.688379243
313,1.795784661
314,1.777932781
315,1.3129284
316,0.292839701
317,0.907412631
318,0.833859632
319,0.849231574
320,1.226221702
321,1.466977725
322,0.678896171
323,0.856399483
324,1.32683305
325,0.963448287
326,0.529527662
327,0.355242691
328,0.98552667
329,0.653764054
330,0.927547777
331,1.043690054
332,0.636520816
333,0.432612355
334,0.528130714
335,0.501574397
336,0.578658476
337,0.641009811
338,2.032452615
339,1.207088383
340,1.752194966
341,0.734941138
342,1.587918633
343,1.815498125
344,0.981103155
345,1.140846502
346,0.597351741
347,1.612525154
348,1.090736799
349,0.411914175
350,0.429882559
351,0.841916988
352,0.901834214
353,2.516352078
354,0.970885731
355,0.34744195
356,0.338001246
357,1.355566622
358,1.561864473
359,0.623088998
360,0.858849356
361,0.714246778
362,0.56735955
363,1.253114388
364,0.929861126
365,1.490402478
366,1.034153409
367,0.916493413
368,1.729488019
369,0.600121212
370,1.070132443
371,1.235076496
372,0.446309354
373,0.710799784
374,1.211061094
375,0.688110565
376,1.043494339
377,0.945598811
378,1.71275713
379,1.00524983
380,1.123398051
381,1.683495719
382,0.385048851
383,0.748839931
384,1.531088809
385,1.053522151
386,0.874353384
387,0.705936082
388,0.724434105
389,1.440868642
390,0.781285565
391,0.643898491
392,0.8175031
393,2.05854066
394,0.941246777
395,1.345338025
396,0.256365229
397,0.810129368
398,0.945303751
399,1.370196205
400,0.68567703
401,0.903625464
402,0.814570866
403,1.299473255
404,0.716886515
405,0.160487126
406,0.991968534
407,0.571457879
408,1.70405882
409,0.550041876
410,1.017389907
411,0.336383138
412,0.416227008
413,1.656363116
414,1.417189582
415,1.170865223
416,0.392966308
417,1.197446332
418,0.916216041
419,1.534400426
420,0.418746616
421,1.275228525
422,1.107261022
423,1.504995339
424,1.263517974
425,1.54439346
426,0.388821128
427,1.034500555
428,1.091195966
429,0.46698488
430,0.640502657
431,1.156657881
432,1.124031303
433,0.585706558
434,1.359786949
435,1.150203911
436,0.829553072
437,1.069587504
438,0.92942473
439,0.837583658
440,0.907449393
441,0.915582831
442,1.166845243
443,0.650185464
444,0.65845375
445,1.273312821
446,1.164777391
447,1.550443905
448,1.777272556
449,0.972264794
450,0.834122174
451,0.729624305
452,0.626545368
453,2.08378507
454,0.668850041
455,1.116279005
456,0.843760569
457,0.947157008
458,0.699223589
459,0.840103633
460,1.000125293
461,1.558203166
462,0.637484941
463,0.251578478
