Age,Gender,region1,region2,region3,region4
0,1,0.858077391,0.041725174,0.069135563,0.031061872
1,1,0.858206161,0.042728294,0.067432267,0.031633278
2,1,0.857292697,0.042859092,0.06811179,0.031736421
3,1,0.853760057,0.044184438,0.070444578,0.031610927
4,1,0.855640126,0.044238354,0.068287483,0.031834038
5,1,0.854442017,0.044959008,0.069048373,0.031550602
6,1,0.850915791,0.044237573,0.072623215,0.032223421
7,1,0.851202737,0.044174848,0.072933717,0.031688698
8,1,0.852002233,0.04530289,0.071033321,0.031661556
9,1,0.851383584,0.045331079,0.071934308,0.031351029
10,1,0.849641585,0.045061513,0.073287187,0.032009715
11,1,0.847851086,0.045846865,0.074762741,0.031539307
12,1,0.847652364,0.044664441,0.075887783,0.031795412
13,1,0.84665022,0.046309228,0.075507666,0.031532886
14,1,0.846183807,0.044631608,0.078286987,0.030897599
15,1,0.847048337,0.04503059,0.07735505,0.030566022
16,1,0.847003595,0.045554702,0.076496859,0.030944844
17,1,0.84949988,0.045638691,0.074226343,0.030635087
18,1,0.845254874,0.045416655,0.07911651,0.030211961
19,1,0.839789578,0.047688798,0.086095514,0.02642611
20,1,0.839708661,0.046553806,0.087312336,0.026425197
21,1,0.841226414,0.046382837,0.086741101,0.025649648
22,1,0.840449107,0.045163507,0.087676545,0.026710841
23,1,0.843141833,0.045081711,0.084743315,0.027033142
24,1,0.847819971,0.044182138,0.080529741,0.02746815
25,1,0.850134089,0.042150157,0.08099238,0.026723374
26,1,0.853573867,0.042833813,0.077781315,0.025811005
27,1,0.85565863,0.042578834,0.075322253,0.026440282
28,1,0.854742441,0.042150385,0.076797583,0.02630959
29,1,0.854967992,0.042870505,0.075711494,0.02645001
30,1,0.854797609,0.042718107,0.076328768,0.026155516
31,1,0.854004905,0.041407481,0.077947689,0.026639925
32,1,0.85521569,0.04204972,0.075781408,0.026953181
33,1,0.854958236,0.042317363,0.074941171,0.02778323
34,1,0.851492602,0.042103243,0.0784267,0.027977454
35,1,0.85389469,0.041640696,0.076337719,0.028126894
36,1,0.852373223,0.04189522,0.077426827,0.02830473
37,1,0.849906282,0.041581999,0.079724013,0.028787706
38,1,0.851113983,0.041923761,0.077955617,0.029006639
39,1,0.850109554,0.04200031,0.079153664,0.028736472
40,1,0.851746187,0.042224954,0.077332687,0.028696172
41,1,0.850050217,0.041353913,0.079353438,0.029242432
42,1,0.848048425,0.041210802,0.081358761,0.029382013
43,1,0.845015476,0.041417383,0.083996717,0.029570424
44,1,0.849339317,0.041684587,0.079510734,0.029465362
45,1,0.851971612,0.042284333,0.076644815,0.02909924
46,1,0.849361086,0.042884972,0.0792622,0.028491742
47,1,0.847851949,0.04407999,0.078807824,0.029260237
48,1,0.848654709,0.045443221,0.077046247,0.028855823
49,1,0.848118791,0.046380919,0.077871694,0.027628596
50,1,0.844435573,0.04642409,0.08089046,0.028249876
51,1,0.838562641,0.046727284,0.086260463,0.028449612
52,1,0.841151085,0.046978086,0.08374629,0.02812454
53,1,0.837999435,0.046874802,0.086481457,0.028644306
54,1,0.836433428,0.04773194,0.087683895,0.028150736
55,1,0.837340061,0.047984263,0.086889684,0.027785992
56,1,0.835180372,0.048763067,0.087089024,0.028967537
57,1,0.83101714,0.049729333,0.0912309,0.028022626
58,1,0.829908298,0.049407683,0.093040386,0.027643634
59,1,0.828058133,0.049263675,0.094337757,0.028340436
60,1,0.827069106,0.050099056,0.093741988,0.02908985
61,1,0.824926881,0.050587638,0.095538151,0.02894733
62,1,0.826253424,0.050296174,0.094967397,0.028483004
63,1,0.823019529,0.051700548,0.09643441,0.028845513
64,1,0.821368846,0.051657781,0.098541324,0.02843205
65,1,0.822507253,0.051313943,0.097820436,0.028358367
66,1,0.823266079,0.052389504,0.097147556,0.027196862
67,1,0.825684237,0.053759437,0.093693792,0.026862534
68,1,0.825483293,0.053813671,0.093374214,0.027328822
69,1,0.827355104,0.053170583,0.092861936,0.026612377
70,1,0.830791171,0.054360771,0.088674689,0.02617337
71,1,0.834217354,0.053103222,0.087079721,0.025599702
72,1,0.836212503,0.05382585,0.084960553,0.025001094
73,1,0.842863908,0.053370855,0.080410753,0.023354484
74,1,0.841467872,0.052901322,0.082266397,0.02336441
75,1,0.811245998,0.051417122,0.111060567,0.026276313
76,1,0.839220196,0.053402744,0.08086222,0.02651484
77,1,0.83757375,0.052171675,0.082958521,0.027296053
78,1,0.830436026,0.05415369,0.087654135,0.027756149
79,1,0.821505574,0.05417221,0.096747557,0.027574659
80,1,0.826191689,0.054022561,0.093117191,0.02666856
81,1,0.841350108,0.050895829,0.082044253,0.02570981
82,1,0.83760002,0.051036634,0.085349081,0.026014265
83,1,0.838314063,0.051150474,0.085508462,0.025027001
84,1,0.836460364,0.051849263,0.0852918,0.026398573
85,1,0.838565286,0.050910255,0.084732804,0.025791654
86,1,0.837000632,0.050882402,0.086708433,0.025408533
87,1,0.836753242,0.050463448,0.087064391,0.025718918
88,1,0.838624746,0.051282515,0.083953857,0.026138883
89,1,0.841936407,0.050811264,0.082260504,0.024991826
90,1,0.848362593,0.050246101,0.077426717,0.023964589
91,1,0.84792223,0.050080663,0.077144526,0.024852581
92,1,0.84930947,0.049844184,0.076511759,0.024334588
93,1,0.848940914,0.050060029,0.07664437,0.024354687
94,1,0.850152,0.05084609,0.073390546,0.025611364
95,1,0.850720562,0.051845343,0.074235501,0.023198594
96,1,0.852344974,0.052934672,0.072284161,0.022436193
97,1,0.855049379,0.051799936,0.069576298,0.023574387
98,1,0.861460734,0.049636589,0.067895763,0.021006914
99,1,0.860034138,0.05181663,0.062179956,0.025969276
100,1,0.862396493,0.053986037,0.06665043,0.01696704
101,1,0.862396493,0.053986037,0.06665043,0.01696704
102,1,0.862396493,0.053986037,0.06665043,0.01696704
103,1,0.862396493,0.053986037,0.06665043,0.01696704
104,1,0.862396493,0.053986037,0.06665043,0.01696704
105,1,0.862396493,0.053986037,0.06665043,0.01696704
106,1,0.862396493,0.053986037,0.06665043,0.01696704
107,1,0.862396493,0.053986037,0.06665043,0.01696704
108,1,0.862396493,0.053986037,0.06665043,0.01696704
109,1,0.862396493,0.053986037,0.06665043,0.01696704
110,1,0.862396493,0.053986037,0.06665043,0.01696704
0,0,0.855682439,0.042134531,0.07050843,0.0316746
1,0,0.858769774,0.04181473,0.067527924,0.031887572
2,0,0.856783492,0.043401395,0.068036006,0.031779106
3,0,0.853514589,0.044145193,0.071400214,0.030940004
4,0,0.855051997,0.044011339,0.068452903,0.032483761
5,0,0.854391391,0.044417561,0.069288863,0.031902185
6,0,0.849126978,0.044816977,0.073770575,0.032285469
7,0,0.850821266,0.044627369,0.073430379,0.031120987
8,0,0.85240842,0.044643528,0.071260547,0.031687505
9,0,0.852004474,0.044973456,0.07177897,0.0312431
10,0,0.849119323,0.045542324,0.073706844,0.031631509
11,0,0.848758144,0.044898608,0.075043853,0.031299395
12,0,0.847397494,0.046289354,0.074667582,0.03164557
13,0,0.848444567,0.045052832,0.074999274,0.031503327
14,0,0.845916753,0.045455791,0.077272104,0.031355352
15,0,0.846529354,0.045317406,0.07766759,0.03048565
16,0,0.847155551,0.046375945,0.075907725,0.030560779
17,0,0.850342846,0.045145671,0.074069124,0.030442359
18,0,0.844456289,0.046853429,0.079238219,0.029452064
19,0,0.839563317,0.048596919,0.084060292,0.027779472
20,0,0.839653401,0.048897568,0.083692568,0.027756463
21,0,0.839785991,0.048668775,0.08344283,0.028102405
22,0,0.838320182,0.047252779,0.085795985,0.028631054
23,0,0.843807667,0.045292188,0.082698617,0.028201528
24,0,0.846546547,0.04566006,0.079224024,0.028569369
25,0,0.847413287,0.043811431,0.080734908,0.028040375
26,0,0.8512945,0.043130146,0.077943951,0.027631403
27,0,0.853418771,0.043103691,0.076633225,0.026844312
28,0,0.852875758,0.042920891,0.077607459,0.026595893
29,0,0.855340508,0.042630659,0.075471955,0.026556878
30,0,0.854336261,0.043045278,0.07587631,0.026742151
31,0,0.851323293,0.042173202,0.079413188,0.027090317
32,0,0.853067408,0.042766485,0.076662818,0.027503289
33,0,0.854736753,0.041841673,0.076492293,0.026929281
34,0,0.847873508,0.043224326,0.080507954,0.028394213
35,0,0.852744614,0.041757097,0.077109717,0.028388573
36,0,0.850646911,0.042136273,0.078463174,0.028753642
37,0,0.850596761,0.041546294,0.079533207,0.028323738
38,0,0.851130868,0.041866225,0.078287616,0.028715291
39,0,0.852055888,0.041439751,0.078014532,0.028489829
40,0,0.853213256,0.041801063,0.076711589,0.028274092
41,0,0.849564545,0.042417321,0.078921687,0.029096446
42,0,0.84969952,0.041039304,0.08102408,0.028237097
43,0,0.845381957,0.040720975,0.084723756,0.029173312
44,0,0.852804363,0.042093753,0.076306988,0.028794896
45,0,0.854108727,0.041952559,0.075264915,0.028673799
46,0,0.85152371,0.042846396,0.077173337,0.028456558
47,0,0.851292549,0.042768478,0.076642336,0.029296638
48,0,0.850899402,0.044088498,0.075867434,0.029144666
49,0,0.849936485,0.045780115,0.07591111,0.02837229
50,0,0.84869038,0.045795964,0.077687813,0.027825842
51,0,0.843445242,0.045696787,0.082625689,0.028232281
52,0,0.844411885,0.046446071,0.081236407,0.027905636
53,0,0.841249926,0.045471963,0.084587442,0.028690669
54,0,0.841111297,0.046305476,0.084772605,0.027810621
55,0,0.837823364,0.047406014,0.08619117,0.028579452
56,0,0.838202335,0.048666809,0.084719762,0.028411094
57,0,0.833344055,0.048484593,0.089615641,0.028555711
58,0,0.832429937,0.048821888,0.090093719,0.028654456
59,0,0.831009481,0.049107758,0.091765513,0.028117248
60,0,0.830324711,0.049157075,0.091655565,0.02886265
61,0,0.828529638,0.050061155,0.093151929,0.028257279
62,0,0.827060175,0.05092632,0.093577081,0.028436423
63,0,0.825917165,0.050855242,0.094391216,0.028836377
64,0,0.823847113,0.051243158,0.096419002,0.028490728
65,0,0.823504482,0.050605163,0.096218204,0.029672151
66,0,0.82273535,0.052367397,0.096155473,0.02874178
67,0,0.82580957,0.053704841,0.092163573,0.028322016
