,quantile
1,1.091284634
2,1.138244323
3,0.538139982
4,1.096308388
5,1.217391775
6,0.590547058
7,1.159085753
8,1.073302552
9,0.863066302
10,0.863015256
11,1.142977884
12,1.435403831
13,1.238471977
14,0.78092681
15,1.329755595
16,1.620971974
17,0.734404758
18,1.613948038
19,0.920365503
20,1.174685892
21,1.149182945
22,0.896022595
23,0.598598226
24,0.878345834
25,0.912082961
26,0.874751197
27,1.265962083
28,1.63058129
29,1.136878237
30,0.807004563
31,0.563590563
32,1.083503454
33,1.144026127
34,1.233313477
35,0.91772076
36,0.878960416
37,1.239984638
38,0.856363881
39,0.612594367
40,0.886726529
41,0.920365503
42,1.210942098
43,1.018984078
44,1.100563002
45,0.980053849
46,0.611883125
47,0.8612409
48,1.050311137
49,0.985992984
50,1.228113826
51,0.953675402
52,1.30172919
53,0.939707647
54,1.010537739
55,1.604544494
56,0.925274527
57,1.352307212
58,1.899606037
59,1.199014387
60,0.942655975
61,0.986353419
62,1.149140959
63,0.846263097
64,0.928395118
65,0.774816189
66,0.997836115
67,0.863997967
68,1.056145704
69,1.04424846
70,0.849128325
71,0.859195895
72,1.066893771
73,1.10512392
74,0.833032729
75,0.737920176
76,0.806918627
77,1.123605132
78,0.511680784
79,0.952033343
80,1.367010922
81,0.829594871
82,0.78562809
83,1.013955996
84,0.925440607
85,1.056770636
86,1.06654372
87,1.104279042
88,1.633107552
89,1.001836135
90,1.343101662
91,1.071981129
92,1.001961747
93,1.142760404
94,1.04827579
95,1.327976377
96,0.944734872
97,0.845435089
98,0.865446754
99,0.839217887
100,0.902108171
101,1.057176683
102,0.733058322
103,1.038216468
104,0.945323391
105,0.704277431
106,1.163007945
107,1.370582693
108,0.912082961
109,0.753455182
110,1.184321516
111,1.363402345
112,1.332276047
113,0.961754785
114,1.036876231
115,1.012277308
116,0.913787859
117,0.873660697
118,1.198681717
119,0.708164399
120,0.981876958
121,1.136878237
122,0.819769054
123,0.733623454
124,0.988516224
125,0.885878279
126,0.88400047
127,1.641711877
128,1.104359434
129,0.725451958
130,0.661170367
131,1.038216468
132,0.9233904
133,0.907462569
134,0.981145767
135,0.880366999
136,1.646832522
137,0.873300354
138,1.001938778
139,0.98497499
140,0.893804677
141,0.832986789
142,0.960959975
143,1.078392536
144,1.160603475
145,0.899094604
146,0.999727746
147,1.414145799
148,1.770107995
149,0.871604417
150,1.154791438
151,1.015134874
152,1.119471054
153,0.791019927
154,0.870906855
155,1.100225133
156,0.7919666
157,1.236976793
158,1.113269989
159,0.76791071
160,1.245668223
161,0.739418891
162,1.107303344
163,1.409941235
164,0.865423637
165,1.163264885
166,0.878313857
167,0.671976868
168,1.07536739
169,0.886337958
170,1.521686659
171,0.906202736
172,0.919437471
173,0.927165304
174,1.054284832
175,0.986961645
176,0.939316839
177,1.320332425
178,0.944707709
179,1.164910871
180,1.068326094
181,1.401169875
182,1.300687889
183,0.565639756
184,0.851359999
185,1.845385523
186,1.309178276
187,1.63692826
188,0.616672683
189,0.742549623
190,0.991794907
191,1.129048631
192,0.657458421
193,0.594620041
194,1.004290409
195,0.966199252
196,0.992033477
197,1.150689503
198,1.050740842
199,1.169174291
200,1.316414791
201,0.689006859
202,1.575823005
203,0.885170759
204,1.580376381
205,1.218667382
206,0.666231188
207,0.863015256
208,0.820623285
209,1.22999425
210,0.888137278
211,1.100333355
212,1.141314175
213,0.81758975
214,1.001161679
215,0.916079079
216,1.272446418
217,1.214881939
218,1.449440181
219,0.72441282
220,0.891130576
221,1.462611286
222,0.882968707
223,1.068909614
224,0.911100453
225,0.907270915
226,1.065256839
227,1.027842474
228,1.021304688
229,0.928790209
230,0.583701766
231,1.127656657
232,0.957652454
233,0.813823087
234,1.154994635
235,1.333213896
236,0.688328981
237,0.910896272
238,1.305622429
239,0.9716377
240,1.101907508
241,1.666058351
242,1.091117101
243,0.916549406
244,1.1997542
245,0.885454242
246,1.168142113
247,1.011096069
248,0.921937976
249,0.773741544
250,1.25910929
251,0.737224248
252,1.316037221
253,0.809783639
254,0.555442714
255,0.730997687
256,0.513152511
257,1.254187106
258,0.867743426
259,0.747772471
260,1.025980789
261,0.776758084
262,0.900922377
263,0.98105467
264,0.942655975
265,1.246735262
266,1.143620652
267,0.875946483
268,1.149670407
269,0.80786859
270,1.090180589
271,1.154614658
272,0.805484291
273,0.760404635
274,1.056378846
275,1.339629801
276,1.051887795
277,0.828370633
278,1.022501958
279,0.84902322
280,1.049049898
281,0.613686366
282,0.927928445
283,1.079574995
284,1.501782327
285,0.97080329
286,1.067744839
287,1.077166387
288,0.977324947
289,1.23134365
290,0.927091497
291,1.263341215
292,1.098681002
293,0.831823737
294,0.870903064
295,0.925977005
296,0.988353254
297,0.867743426
298,0.746558937
299,0.647972672
300,1.100809926
301,0.968194766
302,1.116334119
303,0.802398638
304,1.016363891
305,0.934000356
306,0.933045529
307,0.911229056
308,1.136700157
309,0.863605415
310,0.807880885
311,0.770556953
312,1.039652339
313,0.881269158
314,0.887706031
315,1.354528539
316,0.93616288
317,1.025147788
318,1.05307482
319,0.841896004
320,1.102950867
321,1.34694225
322,0.679038159
323,0.8075811
324,1.177968625
325,0.992509219
326,0.826936884
327,0.922601715
328,0.529157267
329,0.91929537
330,0.891917003
331,1.31625745
332,0.852052966
333,0.539211885
334,1.182006691
335,1.188049812
336,1.061261608
337,1.363647964
338,0.988884392
339,0.837902819
340,0.939481717
341,0.908651584
342,1.166285854
343,1.374368462
344,1.3424196
345,1.024255923
346,0.716053957
347,0.908286618
348,0.845700089
349,1.361366785
350,0.867445155
351,1.161794753
352,0.669744554
353,0.68807759
354,1.058255596
355,1.143619263
356,0.744790068
357,0.538229504
358,1.339475879
359,1.022483907
360,1.070098165
361,1.190649387
362,0.889350335
363,0.701998353
364,0.682442811
365,0.931203948
366,0.718088242
367,1.215415788
368,1.120180708
369,0.977745943
370,0.851262248
371,1.038076804
372,1.095981735
373,1.107031893
374,0.855128425
375,0.911631235
376,0.827897854
377,1.086165973
378,1.134756239
379,1.417231736
380,1.110919612
381,0.809123004
382,0.619114003
383,1.067772218
384,0.738550121
385,0.937004754
386,1.379804034
387,1.919011568
388,0.999574858
389,1.070607214
390,0.802769461
391,0.744718721
392,1.097483598
393,0.721715046
394,1.410057136
395,1.353721327
396,0.859687295
397,0.546155656
398,0.866967556
