,quantile
1,0.708261644
2,0.875329667
3,0.928156599
4,0.731413394
5,0.62243766
6,1.008691679
7,0.645415234
8,0.964283682
9,0.990711485
10,0.999906918
11,1.213291084
12,1.177610308
13,1.20026751
14,1.05121387
15,0.988232159
16,0.788078339
17,1.268536286
18,0.894390646
19,0.92239521
20,1.495915642
21,0.846368217
22,0.918683595
23,1.282330953
24,0.949535175
25,1.111049855
26,0.571826012
27,1.104131069
28,1.089563813
29,0.779128837
30,1.00983133
31,1.080048924
32,0.948737495
33,0.668525533
34,0.855827542
35,0.816441528
36,0.99238447
37,1.040028923
38,1.207560542
39,0.870035179
40,0.922122761
41,1.34704697
42,1.051296685
43,0.827572121
44,0.589234174
45,0.776149634
46,1.110175324
47,1.397801816
48,0.994997339
49,1.111149075
50,1.014930518
51,1.128060096
52,1.173989657
53,1.1629258
54,1.456050257
55,0.936342325
56,1.138539165
57,0.591519024
58,0.79139052
59,0.977437736
60,0.70059321
61,1.002051554
62,1.025136476
63,1.19268063
64,0.783866417
65,0.825644625
66,1.216269697
67,1.486111657
68,1.104503887
69,0.784921589
70,1.156284609
71,0.632884043
72,1.112352241
73,1.277732253
74,1.362660949
75,1.33635602
76,1.021504093
77,1.215952114
78,0.990262255
79,1.043185104
80,1.327694733
81,0.941130141
82,0.775010634
83,1.088393473
84,1.413399186
85,1.36731187
86,0.827770692
87,0.950885042
88,0.840592983
89,0.945948387
90,1.4837698
91,0.952603823
92,1.214522664
93,1.444164375
94,1.118291874
95,0.851924676
96,1.115313791
97,1.082212397
98,1.115303481
99,1.000414862
100,1.363231985
101,1.271656687
102,0.706871773
103,0.991580905
104,0.813064643
105,0.925430087
106,0.803934164
107,1.267261553
108,0.886635792
109,1.061784554
110,0.563228354
111,0.713914853
112,0.929360008
113,1.065013655
114,0.944448858
115,0.975573816
116,0.982898428
117,1.068929968
118,1.027896641
119,0.896886735
120,1.032541965
121,1.038873335
122,1.002636984
123,0.993043434
124,0.940034211
125,0.848351803
126,1.111534782
127,1.002643223
128,0.639641405
129,0.601456911
130,0.654300662
131,1.25342577
132,1.203412444
133,1.239604363
134,1.123171172
135,0.55372712
136,0.955473028
137,0.598010631
138,0.992604182
139,1.528633909
140,1.195733958
141,0.97852701
142,0.966516765
143,0.648324175
144,0.89317149
145,0.936413408
146,1.272228742
147,0.656435101
148,1.316762819
149,0.938126646
150,1.296025087
151,0.827741612
152,1.031196897
153,1.073467305
154,1.420913159
155,1.072720356
156,1.340555915
157,1.223826385
158,1.029857552
159,1.021725897
160,1.045692811
161,1.286467708
162,1.029343002
163,1.264103602
164,1.055616481
165,0.591667794
166,1.163208582
167,0.559344329
168,1.267223028
169,0.83093434
170,0.540484578
171,0.894230345
172,1.087253333
173,1.006571747
174,0.937412928
175,1.13516112
176,0.793888744
177,1.2387009
178,1.508302037
179,1.03223761
180,1.203515145
181,1.402644639
182,1.180926207
183,1.02207228
184,1.146133806
185,1.198782342
186,1.239788005
187,0.867127922
188,1.058597726
189,0.815558706
190,1.050048662
191,0.700528326
192,1.189518373
193,1.366138542
194,0.953941907
195,0.960086781
196,1.151360267
197,0.723278363
198,1.013621313
199,0.883849771
200,0.978936176
201,1.264513769
202,1.069709483
203,0.660683939
204,0.916702416
205,0.986078451
206,1.043268842
207,1.228236771
208,0.614920964
